Vardas              Pavarde             Galutinis      
Vardas195           Pavarde195          6.28
Vardas197           Pavarde197          5.75
Vardas198           Pavarde198          7.19
Vardas199           Pavarde199          6.61
Vardas200           Pavarde200          7.37
Vardas205           Pavarde205          5.21
Vardas206           Pavarde206          5.96
Vardas209           Pavarde209          7.89
Vardas211           Pavarde211          8.32
Vardas212           Pavarde212          5.21
Vardas214           Pavarde214          7.85
Vardas216           Pavarde216          5.95
Vardas217           Pavarde217          8.05
Vardas218           Pavarde218          6.60
Vardas219           Pavarde219          5.08
Vardas220           Pavarde220          6.09
Vardas221           Pavarde221          7.88
Vardas222           Pavarde222          6.96
Vardas223           Pavarde223          5.47
Vardas224           Pavarde224          7.09
Vardas225           Pavarde225          5.40
Vardas226           Pavarde226          5.05
Vardas227           Pavarde227          7.64
Vardas228           Pavarde228          7.49
Vardas229           Pavarde229          6.13
Vardas231           Pavarde231          6.44
Vardas232           Pavarde232          6.67
Vardas233           Pavarde233          8.40
Vardas235           Pavarde235          5.63
Vardas236           Pavarde236          8.27
Vardas237           Pavarde237          8.04
Vardas240           Pavarde240          8.27
Vardas241           Pavarde241          8.08
Vardas242           Pavarde242          6.93
Vardas243           Pavarde243          6.48
Vardas244           Pavarde244          5.61
Vardas248           Pavarde248          7.53
Vardas250           Pavarde250          6.37
Vardas251           Pavarde251          8.09
Vardas252           Pavarde252          6.41
Vardas253           Pavarde253          7.92
Vardas254           Pavarde254          8.15
Vardas257           Pavarde257          6.39
Vardas259           Pavarde259          5.73
Vardas260           Pavarde260          5.41
Vardas261           Pavarde261          8.09
Vardas263           Pavarde263          7.89
Vardas265           Pavarde265          6.28
Vardas268           Pavarde268          8.03
Vardas269           Pavarde269          5.87
Vardas271           Pavarde271          5.60
Vardas272           Pavarde272          5.60
Vardas274           Pavarde274          5.40
Vardas277           Pavarde277          7.23
Vardas278           Pavarde278          6.77
Vardas279           Pavarde279          5.64
Vardas280           Pavarde280          7.92
Vardas283           Pavarde283          5.59
Vardas284           Pavarde284          7.77
Vardas286           Pavarde286          7.36
Vardas287           Pavarde287          8.04
Vardas288           Pavarde288          5.09
Vardas289           Pavarde289          8.29
Vardas290           Pavarde290          5.87
Vardas291           Pavarde291          7.87
Vardas294           Pavarde294          8.61
Vardas295           Pavarde295          6.80
Vardas297           Pavarde297          5.04
Vardas298           Pavarde298          7.59
Vardas299           Pavarde299          7.12
Vardas301           Pavarde301          6.93
Vardas303           Pavarde303          6.73
Vardas304           Pavarde304          8.05
Vardas306           Pavarde306          6.45
Vardas307           Pavarde307          8.85
Vardas308           Pavarde308          7.25
Vardas310           Pavarde310          6.39
Vardas311           Pavarde311          7.69
Vardas314           Pavarde314          5.89
Vardas315           Pavarde315          5.76
Vardas321           Pavarde321          6.99
Vardas322           Pavarde322          7.01
Vardas323           Pavarde323          6.17
Vardas325           Pavarde325          8.83
Vardas330           Pavarde330          6.31
Vardas331           Pavarde331          7.69
Vardas332           Pavarde332          8.08
Vardas340           Pavarde340          6.08
Vardas345           Pavarde345          5.47
Vardas346           Pavarde346          7.72
Vardas347           Pavarde347          5.36
Vardas348           Pavarde348          5.56
Vardas350           Pavarde350          7.04
Vardas351           Pavarde351          7.05
Vardas355           Pavarde355          5.60
Vardas357           Pavarde357          7.49
Vardas359           Pavarde359          7.61
Vardas363           Pavarde363          7.20
Vardas364           Pavarde364          5.16
Vardas365           Pavarde365          8.85
Vardas371           Pavarde371          6.55
Vardas375           Pavarde375          5.76
Vardas376           Pavarde376          8.24
Vardas377           Pavarde377          6.31
Vardas378           Pavarde378          7.23
Vardas379           Pavarde379          8.25
Vardas380           Pavarde380          6.49
Vardas381           Pavarde381          6.08
Vardas384           Pavarde384          7.88
Vardas385           Pavarde385          5.97
Vardas387           Pavarde387          6.15
Vardas388           Pavarde388          6.40
Vardas389           Pavarde389          7.29
Vardas392           Pavarde392          5.89
Vardas393           Pavarde393          7.43
Vardas396           Pavarde396          5.81
Vardas399           Pavarde399          6.71
Vardas402           Pavarde402          6.91
Vardas403           Pavarde403          7.17
Vardas404           Pavarde404          6.57
Vardas405           Pavarde405          7.11
Vardas406           Pavarde406          6.12
Vardas407           Pavarde407          7.16
Vardas408           Pavarde408          7.84
Vardas410           Pavarde410          5.19
Vardas411           Pavarde411          5.55
Vardas412           Pavarde412          7.57
Vardas413           Pavarde413          6.28
Vardas414           Pavarde414          6.64
Vardas415           Pavarde415          8.53
Vardas417           Pavarde417          6.80
Vardas418           Pavarde418          8.32
Vardas419           Pavarde419          6.59
Vardas421           Pavarde421          5.64
Vardas422           Pavarde422          6.61
Vardas424           Pavarde424          5.71
Vardas425           Pavarde425          6.77
Vardas427           Pavarde427          5.36
Vardas430           Pavarde430          5.35
Vardas431           Pavarde431          6.83
Vardas432           Pavarde432          6.47
Vardas434           Pavarde434          7.37
Vardas435           Pavarde435          5.53
Vardas436           Pavarde436          8.24
Vardas437           Pavarde437          6.63
Vardas439           Pavarde439          6.19
Vardas440           Pavarde440          8.04
Vardas441           Pavarde441          7.73
Vardas442           Pavarde442          8.45
Vardas443           Pavarde443          6.47
Vardas445           Pavarde445          8.11
Vardas446           Pavarde446          8.43
Vardas449           Pavarde449          6.12
Vardas450           Pavarde450          5.08
Vardas451           Pavarde451          6.85
Vardas452           Pavarde452          6.80
Vardas457           Pavarde457          8.69
Vardas458           Pavarde458          8.48
Vardas459           Pavarde459          5.49
Vardas461           Pavarde461          6.83
Vardas464           Pavarde464          7.15
Vardas465           Pavarde465          5.20
Vardas467           Pavarde467          5.87
Vardas468           Pavarde468          5.69
Vardas469           Pavarde469          7.75
Vardas471           Pavarde471          5.51
Vardas472           Pavarde472          5.27
Vardas473           Pavarde473          5.81
Vardas476           Pavarde476          8.61
Vardas477           Pavarde477          7.48
Vardas480           Pavarde480          5.53
Vardas481           Pavarde481          5.68
Vardas482           Pavarde482          7.75
Vardas484           Pavarde484          7.25
Vardas486           Pavarde486          5.79
Vardas487           Pavarde487          5.89
Vardas488           Pavarde488          7.72
Vardas489           Pavarde489          6.41
Vardas490           Pavarde490          7.87
Vardas491           Pavarde491          8.13
Vardas492           Pavarde492          6.71
Vardas493           Pavarde493          6.81
Vardas494           Pavarde494          8.61
Vardas496           Pavarde496          7.48
Vardas499           Pavarde499          6.47
Vardas500           Pavarde500          6.63
Vardas501           Pavarde501          8.43
Vardas503           Pavarde503          7.12
Vardas504           Pavarde504          7.52
Vardas506           Pavarde506          6.23
Vardas507           Pavarde507          5.32
Vardas509           Pavarde509          7.11
Vardas510           Pavarde510          7.11
Vardas511           Pavarde511          7.53
Vardas513           Pavarde513          6.17
Vardas516           Pavarde516          6.33
Vardas517           Pavarde517          7.80
Vardas518           Pavarde518          5.09
Vardas520           Pavarde520          5.56
Vardas521           Pavarde521          7.35
Vardas525           Pavarde525          6.17
Vardas526           Pavarde526          6.71
Vardas527           Pavarde527          8.40
Vardas528           Pavarde528          6.41
Vardas529           Pavarde529          5.16
Vardas530           Pavarde530          8.19
Vardas533           Pavarde533          6.07
Vardas534           Pavarde534          7.87
Vardas535           Pavarde535          6.84
Vardas537           Pavarde537          6.96
Vardas538           Pavarde538          6.99
Vardas539           Pavarde539          7.44
Vardas542           Pavarde542          5.53
Vardas545           Pavarde545          7.23
Vardas548           Pavarde548          5.69
Vardas549           Pavarde549          8.45
Vardas550           Pavarde550          5.71
Vardas551           Pavarde551          7.97
Vardas554           Pavarde554          6.00
Vardas558           Pavarde558          6.01
Vardas559           Pavarde559          7.75
Vardas560           Pavarde560          8.45
Vardas561           Pavarde561          5.13
Vardas567           Pavarde567          6.20
Vardas570           Pavarde570          5.51
Vardas571           Pavarde571          5.29
Vardas572           Pavarde572          5.92
Vardas574           Pavarde574          7.63
Vardas575           Pavarde575          6.88
Vardas576           Pavarde576          8.40
Vardas580           Pavarde580          5.95
Vardas582           Pavarde582          7.88
Vardas583           Pavarde583          5.16
Vardas586           Pavarde586          7.79
Vardas587           Pavarde587          6.55
Vardas588           Pavarde588          6.33
Vardas589           Pavarde589          8.24
Vardas590           Pavarde590          6.05
Vardas591           Pavarde591          5.60
Vardas592           Pavarde592          8.08
Vardas595           Pavarde595          7.61
Vardas596           Pavarde596          8.40
Vardas597           Pavarde597          7.28
Vardas599           Pavarde599          7.96
Vardas604           Pavarde604          6.44
Vardas606           Pavarde606          5.32
Vardas607           Pavarde607          5.55
Vardas610           Pavarde610          7.40
Vardas611           Pavarde611          7.32
Vardas613           Pavarde613          7.87
Vardas615           Pavarde615          8.16
Vardas617           Pavarde617          7.88
Vardas619           Pavarde619          6.04
Vardas621           Pavarde621          7.09
Vardas622           Pavarde622          6.76
Vardas623           Pavarde623          7.27
Vardas624           Pavarde624          6.64
Vardas625           Pavarde625          6.49
Vardas627           Pavarde627          5.36
Vardas630           Pavarde630          8.24
Vardas632           Pavarde632          7.09
Vardas633           Pavarde633          5.01
Vardas635           Pavarde635          6.80
Vardas640           Pavarde640          5.89
Vardas642           Pavarde642          5.71
Vardas644           Pavarde644          6.07
Vardas645           Pavarde645          6.93
Vardas647           Pavarde647          7.01
Vardas649           Pavarde649          5.60
Vardas650           Pavarde650          6.35
Vardas651           Pavarde651          5.19
Vardas652           Pavarde652          8.61
Vardas653           Pavarde653          6.84
Vardas655           Pavarde655          5.55
Vardas656           Pavarde656          5.71
Vardas657           Pavarde657          8.51
Vardas665           Pavarde665          5.60
Vardas666           Pavarde666          5.88
Vardas670           Pavarde670          8.40
Vardas672           Pavarde672          7.93
Vardas673           Pavarde673          8.11
Vardas675           Pavarde675          7.20
Vardas678           Pavarde678          8.29
Vardas679           Pavarde679          8.19
Vardas680           Pavarde680          6.97
Vardas682           Pavarde682          7.96
Vardas683           Pavarde683          7.71
Vardas684           Pavarde684          7.59
Vardas685           Pavarde685          5.40
Vardas686           Pavarde686          6.25
Vardas689           Pavarde689          5.97
Vardas690           Pavarde690          5.56
Vardas691           Pavarde691          7.67
Vardas693           Pavarde693          7.69
Vardas694           Pavarde694          6.39
Vardas695           Pavarde695          6.88
Vardas696           Pavarde696          8.29
Vardas697           Pavarde697          7.85
Vardas698           Pavarde698          7.17
Vardas702           Pavarde702          6.75
Vardas703           Pavarde703          8.56
Vardas704           Pavarde704          5.01
Vardas707           Pavarde707          5.35
Vardas708           Pavarde708          7.04
Vardas713           Pavarde713          7.72
Vardas714           Pavarde714          7.68
Vardas715           Pavarde715          5.81
Vardas717           Pavarde717          8.56
Vardas718           Pavarde718          6.71
Vardas719           Pavarde719          8.51
Vardas720           Pavarde720          7.75
Vardas722           Pavarde722          5.24
Vardas723           Pavarde723          5.52
Vardas725           Pavarde725          5.31
Vardas727           Pavarde727          8.35
Vardas729           Pavarde729          5.92
Vardas730           Pavarde730          6.44
Vardas732           Pavarde732          5.03
Vardas734           Pavarde734          6.00
Vardas735           Pavarde735          5.69
Vardas736           Pavarde736          6.41
Vardas739           Pavarde739          7.71
Vardas740           Pavarde740          7.57
Vardas741           Pavarde741          5.19
Vardas742           Pavarde742          7.63
Vardas745           Pavarde745          6.96
Vardas747           Pavarde747          7.01
Vardas748           Pavarde748          6.40
Vardas752           Pavarde752          7.31
Vardas753           Pavarde753          5.44
Vardas754           Pavarde754          5.76
Vardas755           Pavarde755          6.71
Vardas758           Pavarde758          5.67
Vardas759           Pavarde759          7.27
Vardas760           Pavarde760          5.76
Vardas761           Pavarde761          5.48
Vardas766           Pavarde766          6.07
Vardas768           Pavarde768          6.23
Vardas769           Pavarde769          7.69
Vardas772           Pavarde772          7.83
Vardas774           Pavarde774          7.75
Vardas775           Pavarde775          5.49
Vardas776           Pavarde776          5.81
Vardas778           Pavarde778          7.23
Vardas779           Pavarde779          5.61
Vardas780           Pavarde780          5.16
Vardas781           Pavarde781          6.41
Vardas782           Pavarde782          5.52
Vardas785           Pavarde785          7.97
Vardas787           Pavarde787          5.95
Vardas788           Pavarde788          6.33
Vardas790           Pavarde790          6.31
Vardas791           Pavarde791          7.25
Vardas794           Pavarde794          7.59
Vardas795           Pavarde795          5.92
Vardas798           Pavarde798          7.92
Vardas799           Pavarde799          6.91
Vardas800           Pavarde800          5.89
Vardas801           Pavarde801          7.56
Vardas803           Pavarde803          6.85
Vardas804           Pavarde804          7.25
Vardas805           Pavarde805          5.45
Vardas806           Pavarde806          8.24
Vardas807           Pavarde807          7.73
Vardas808           Pavarde808          8.32
Vardas809           Pavarde809          6.91
Vardas810           Pavarde810          7.13
Vardas811           Pavarde811          5.16
Vardas812           Pavarde812          7.64
Vardas814           Pavarde814          6.47
Vardas818           Pavarde818          6.48
Vardas819           Pavarde819          6.53
Vardas820           Pavarde820          6.07
Vardas821           Pavarde821          5.96
Vardas825           Pavarde825          5.13
Vardas826           Pavarde826          8.51
Vardas828           Pavarde828          8.00
Vardas829           Pavarde829          7.91
Vardas830           Pavarde830          8.00
Vardas832           Pavarde832          5.43
Vardas839           Pavarde839          6.41
Vardas840           Pavarde840          6.59
Vardas841           Pavarde841          5.35
Vardas842           Pavarde842          7.92
Vardas843           Pavarde843          8.00
Vardas844           Pavarde844          7.59
Vardas845           Pavarde845          7.83
Vardas849           Pavarde849          6.96
Vardas850           Pavarde850          6.24
Vardas851           Pavarde851          7.40
Vardas854           Pavarde854          5.87
Vardas855           Pavarde855          8.35
Vardas856           Pavarde856          5.92
Vardas857           Pavarde857          7.52
Vardas858           Pavarde858          7.64
Vardas859           Pavarde859          7.85
Vardas861           Pavarde861          5.75
Vardas863           Pavarde863          7.60
Vardas865           Pavarde865          6.05
Vardas866           Pavarde866          5.55
Vardas867           Pavarde867          8.16
Vardas868           Pavarde868          6.88
Vardas869           Pavarde869          5.08
Vardas870           Pavarde870          7.12
Vardas871           Pavarde871          6.39
Vardas874           Pavarde874          5.03
Vardas879           Pavarde879          6.93
Vardas881           Pavarde881          6.49
Vardas882           Pavarde882          5.27
Vardas885           Pavarde885          6.97
Vardas887           Pavarde887          7.89
Vardas888           Pavarde888          7.84
Vardas889           Pavarde889          7.21
Vardas891           Pavarde891          7.39
Vardas897           Pavarde897          5.24
Vardas899           Pavarde899          5.31
Vardas901           Pavarde901          7.29
Vardas905           Pavarde905          8.00
Vardas910           Pavarde910          5.04
Vardas911           Pavarde911          7.43
Vardas912           Pavarde912          6.63
Vardas913           Pavarde913          5.35
Vardas915           Pavarde915          6.20
Vardas917           Pavarde917          8.01
Vardas918           Pavarde918          5.92
Vardas920           Pavarde920          8.40
Vardas922           Pavarde922          5.76
Vardas926           Pavarde926          5.11
Vardas927           Pavarde927          7.89
Vardas928           Pavarde928          6.12
Vardas929           Pavarde929          7.20
Vardas930           Pavarde930          7.21
Vardas932           Pavarde932          7.32
Vardas933           Pavarde933          8.19
Vardas934           Pavarde934          8.19
Vardas935           Pavarde935          5.60
Vardas936           Pavarde936          8.24
Vardas940           Pavarde940          5.17
Vardas943           Pavarde943          5.63
Vardas944           Pavarde944          5.55
Vardas945           Pavarde945          6.80
Vardas946           Pavarde946          8.40
Vardas947           Pavarde947          7.44
Vardas948           Pavarde948          7.63
Vardas952           Pavarde952          6.56
Vardas953           Pavarde953          7.20
Vardas954           Pavarde954          6.73
Vardas955           Pavarde955          6.85
Vardas956           Pavarde956          5.76
Vardas957           Pavarde957          6.99
Vardas958           Pavarde958          5.47
Vardas959           Pavarde959          7.12
Vardas961           Pavarde961          7.61
Vardas963           Pavarde963          8.11
Vardas965           Pavarde965          5.92
Vardas966           Pavarde966          6.36
Vardas967           Pavarde967          7.75
Vardas975           Pavarde975          5.03
Vardas976           Pavarde976          5.19
Vardas977           Pavarde977          8.01
Vardas978           Pavarde978          5.93
Vardas979           Pavarde979          5.85
Vardas980           Pavarde980          5.20
Vardas981           Pavarde981          7.43
Vardas984           Pavarde984          6.57
Vardas986           Pavarde986          5.23
Vardas987           Pavarde987          6.09
Vardas988           Pavarde988          6.24
Vardas989           Pavarde989          7.29
Vardas990           Pavarde990          5.99
Vardas991           Pavarde991          5.81
Vardas992           Pavarde992          7.43
Vardas993           Pavarde993          5.91
Vardas995           Pavarde995          7.41
Vardas996           Pavarde996          6.39
Vardas997           Pavarde997          6.32
Vardas998           Pavarde998          6.99
Vardas999           Pavarde999          5.16
Vardas1000          Pavarde1000         6.49
Vardas1001          Pavarde1001         6.47
Vardas1002          Pavarde1002         6.43
Vardas1003          Pavarde1003         6.84
Vardas1009          Pavarde1009         7.32
Vardas1011          Pavarde1011         8.01
Vardas1013          Pavarde1013         6.67
Vardas1015          Pavarde1015         6.75
Vardas1016          Pavarde1016         5.97
Vardas1017          Pavarde1017         6.44
Vardas1023          Pavarde1023         7.53
Vardas1025          Pavarde1025         6.15
Vardas1026          Pavarde1026         5.43
Vardas1029          Pavarde1029         6.23
Vardas1030          Pavarde1030         5.00
Vardas1033          Pavarde1033         7.35
Vardas1035          Pavarde1035         8.56
Vardas1036          Pavarde1036         6.01
Vardas1038          Pavarde1038         6.15
Vardas1041          Pavarde1041         6.72
Vardas1042          Pavarde1042         5.97
Vardas1044          Pavarde1044         6.17
Vardas1045          Pavarde1045         6.21
Vardas1046          Pavarde1046         5.65
Vardas1048          Pavarde1048         5.76
Vardas1053          Pavarde1053         6.71
Vardas1055          Pavarde1055         8.15
Vardas1056          Pavarde1056         5.87
Vardas1057          Pavarde1057         8.40
Vardas1062          Pavarde1062         7.40
Vardas1067          Pavarde1067         8.24
Vardas1070          Pavarde1070         5.35
Vardas1078          Pavarde1078         5.79
Vardas1079          Pavarde1079         6.85
Vardas1081          Pavarde1081         6.72
Vardas1083          Pavarde1083         5.11
Vardas1084          Pavarde1084         6.59
Vardas1085          Pavarde1085         5.07
Vardas1086          Pavarde1086         5.51
Vardas1087          Pavarde1087         6.47
Vardas1088          Pavarde1088         8.04
Vardas1090          Pavarde1090         8.43
Vardas1094          Pavarde1094         8.43
Vardas1095          Pavarde1095         8.19
Vardas1098          Pavarde1098         7.69
Vardas1100          Pavarde1100         6.25
Vardas1102          Pavarde1102         6.39
Vardas1103          Pavarde1103         7.09
Vardas1105          Pavarde1105         5.89
Vardas1106          Pavarde1106         7.16
Vardas1108          Pavarde1108         6.92
Vardas1111          Pavarde1111         8.24
Vardas1112          Pavarde1112         7.63
Vardas1113          Pavarde1113         8.67
Vardas1115          Pavarde1115         6.52
Vardas1117          Pavarde1117         6.21
Vardas1118          Pavarde1118         8.04
Vardas1119          Pavarde1119         7.12
Vardas1120          Pavarde1120         8.40
Vardas1121          Pavarde1121         6.71
Vardas1122          Pavarde1122         5.19
Vardas1127          Pavarde1127         8.11
Vardas1130          Pavarde1130         8.35
Vardas1132          Pavarde1132         6.96
Vardas1133          Pavarde1133         7.40
Vardas1136          Pavarde1136         7.12
Vardas1140          Pavarde1140         5.32
Vardas1141          Pavarde1141         5.56
Vardas1142          Pavarde1142         5.32
Vardas1143          Pavarde1143         6.48
Vardas1145          Pavarde1145         5.76
Vardas1146          Pavarde1146         7.17
Vardas1149          Pavarde1149         6.60
Vardas1150          Pavarde1150         6.77
Vardas1154          Pavarde1154         8.51
Vardas1155          Pavarde1155         7.33
Vardas1156          Pavarde1156         6.03
Vardas1160          Pavarde1160         5.49
Vardas1161          Pavarde1161         5.24
Vardas1166          Pavarde1166         7.28
Vardas1172          Pavarde1172         8.19
Vardas1174          Pavarde1174         8.27
Vardas1175          Pavarde1175         7.72
Vardas1176          Pavarde1176         5.63
Vardas1177          Pavarde1177         8.17
Vardas1178          Pavarde1178         7.01
Vardas1180          Pavarde1180         6.56
Vardas1182          Pavarde1182         5.51
Vardas1183          Pavarde1183         7.25
Vardas1185          Pavarde1185         7.64
Vardas1187          Pavarde1187         5.75
Vardas1188          Pavarde1188         7.77
Vardas1189          Pavarde1189         8.31
Vardas1190          Pavarde1190         7.73
Vardas1192          Pavarde1192         6.77
Vardas1193          Pavarde1193         7.28
Vardas1196          Pavarde1196         7.15
Vardas1197          Pavarde1197         8.11
Vardas1199          Pavarde1199         6.52
Vardas1202          Pavarde1202         6.93
Vardas1204          Pavarde1204         7.64
Vardas1205          Pavarde1205         5.43
Vardas1211          Pavarde1211         6.15
Vardas1215          Pavarde1215         6.49
Vardas1216          Pavarde1216         7.08
Vardas1217          Pavarde1217         5.73
Vardas1218          Pavarde1218         8.67
Vardas1219          Pavarde1219         5.16
Vardas1221          Pavarde1221         6.04
Vardas1223          Pavarde1223         7.04
Vardas1224          Pavarde1224         6.76
Vardas1225          Pavarde1225         7.40
Vardas1226          Pavarde1226         7.48
Vardas1228          Pavarde1228         5.64
Vardas1229          Pavarde1229         6.13
Vardas1230          Pavarde1230         6.43
Vardas1232          Pavarde1232         6.12
Vardas1234          Pavarde1234         6.04
Vardas1235          Pavarde1235         6.89
Vardas1237          Pavarde1237         7.53
Vardas1240          Pavarde1240         8.72
Vardas1242          Pavarde1242         7.49
Vardas1243          Pavarde1243         5.36
Vardas1244          Pavarde1244         5.09
Vardas1247          Pavarde1247         6.71
Vardas1248          Pavarde1248         7.01
Vardas1250          Pavarde1250         7.93
Vardas1251          Pavarde1251         8.35
Vardas1256          Pavarde1256         6.76
Vardas1257          Pavarde1257         7.12
Vardas1259          Pavarde1259         5.49
Vardas1260          Pavarde1260         7.45
Vardas1265          Pavarde1265         5.37
Vardas1266          Pavarde1266         5.01
Vardas1267          Pavarde1267         6.23
Vardas1268          Pavarde1268         5.40
Vardas1272          Pavarde1272         6.11
Vardas1273          Pavarde1273         6.12
Vardas1274          Pavarde1274         6.29
Vardas1276          Pavarde1276         6.33
Vardas1278          Pavarde1278         7.56
Vardas1280          Pavarde1280         6.84
Vardas1281          Pavarde1281         8.59
Vardas1282          Pavarde1282         7.69
Vardas1283          Pavarde1283         8.24
Vardas1285          Pavarde1285         6.28
Vardas1288          Pavarde1288         6.55
Vardas1294          Pavarde1294         5.29
Vardas1295          Pavarde1295         5.35
Vardas1296          Pavarde1296         7.09
Vardas1297          Pavarde1297         5.11
Vardas1299          Pavarde1299         5.76
Vardas1300          Pavarde1300         5.57
Vardas1301          Pavarde1301         6.43
Vardas1302          Pavarde1302         6.59
Vardas1307          Pavarde1307         5.89
Vardas1308          Pavarde1308         7.28
Vardas1310          Pavarde1310         6.05
Vardas1311          Pavarde1311         6.25
Vardas1317          Pavarde1317         6.28
Vardas1318          Pavarde1318         6.20
Vardas1319          Pavarde1319         6.47
Vardas1323          Pavarde1323         7.17
Vardas1324          Pavarde1324         6.09
Vardas1326          Pavarde1326         8.27
Vardas1327          Pavarde1327         7.95
Vardas1328          Pavarde1328         7.89
Vardas1329          Pavarde1329         7.21
Vardas1331          Pavarde1331         7.37
Vardas1332          Pavarde1332         6.55
Vardas1333          Pavarde1333         6.12
Vardas1334          Pavarde1334         7.13
Vardas1335          Pavarde1335         7.61
Vardas1336          Pavarde1336         7.33
Vardas1337          Pavarde1337         6.89
Vardas1339          Pavarde1339         5.03
Vardas1340          Pavarde1340         5.43
Vardas1341          Pavarde1341         8.24
Vardas1347          Pavarde1347         6.93
Vardas1348          Pavarde1348         7.84
Vardas1351          Pavarde1351         6.77
Vardas1352          Pavarde1352         7.55
Vardas1353          Pavarde1353         8.07
Vardas1354          Pavarde1354         5.51
Vardas1355          Pavarde1355         7.48
Vardas1357          Pavarde1357         6.33
Vardas1358          Pavarde1358         5.99
Vardas1360          Pavarde1360         7.28
Vardas1361          Pavarde1361         5.32
Vardas1362          Pavarde1362         6.16
Vardas1363          Pavarde1363         5.60
Vardas1364          Pavarde1364         7.19
Vardas1365          Pavarde1365         5.56
Vardas1366          Pavarde1366         5.45
Vardas1367          Pavarde1367         7.32
Vardas1368          Pavarde1368         7.80
Vardas1369          Pavarde1369         8.61
Vardas1370          Pavarde1370         7.92
Vardas1375          Pavarde1375         5.24
Vardas1377          Pavarde1377         7.27
Vardas1379          Pavarde1379         5.05
Vardas1381          Pavarde1381         7.72
Vardas1383          Pavarde1383         8.29
