Vardas              Pavarde             Galutinis      
Vardas395           Pavarde395          3.93
Vardas397           Pavarde397          3.27
Vardas398           Pavarde398          2.55
Vardas400           Pavarde400          3.47
Vardas401           Pavarde401          3.09
Vardas409           Pavarde409          4.27
Vardas416           Pavarde416          2.95
Vardas420           Pavarde420          4.01
Vardas423           Pavarde423          4.32
Vardas426           Pavarde426          3.99
Vardas428           Pavarde428          4.09
Vardas429           Pavarde429          4.67
Vardas433           Pavarde433          2.97
Vardas438           Pavarde438          3.11
Vardas444           Pavarde444          4.40
Vardas447           Pavarde447          4.56
Vardas448           Pavarde448          4.05
Vardas453           Pavarde453          3.20
Vardas454           Pavarde454          3.47
Vardas455           Pavarde455          3.37
Vardas456           Pavarde456          3.45
Vardas460           Pavarde460          3.28
Vardas462           Pavarde462          3.33
Vardas463           Pavarde463          4.89
Vardas466           Pavarde466          3.88
Vardas470           Pavarde470          4.48
Vardas474           Pavarde474          2.65
Vardas475           Pavarde475          4.04
Vardas478           Pavarde478          3.40
Vardas479           Pavarde479          3.28
Vardas483           Pavarde483          4.01
Vardas485           Pavarde485          4.67
Vardas495           Pavarde495          2.96
Vardas497           Pavarde497          3.15
Vardas498           Pavarde498          2.36
Vardas502           Pavarde502          2.73
Vardas505           Pavarde505          4.72
Vardas508           Pavarde508          4.12
Vardas512           Pavarde512          4.39
Vardas514           Pavarde514          3.63
Vardas515           Pavarde515          2.81
Vardas519           Pavarde519          3.25
Vardas522           Pavarde522          2.87
Vardas523           Pavarde523          4.53
Vardas524           Pavarde524          2.91
Vardas531           Pavarde531          4.85
Vardas532           Pavarde532          2.60
Vardas536           Pavarde536          3.03
Vardas540           Pavarde540          3.85
Vardas541           Pavarde541          3.29
Vardas543           Pavarde543          3.96
Vardas544           Pavarde544          3.84
Vardas546           Pavarde546          3.00
Vardas547           Pavarde547          3.47
Vardas552           Pavarde552          4.95
Vardas553           Pavarde553          4.16
Vardas555           Pavarde555          4.23
Vardas556           Pavarde556          3.75
Vardas557           Pavarde557          4.53
Vardas562           Pavarde562          3.40
Vardas563           Pavarde563          4.44
Vardas564           Pavarde564          4.88
Vardas565           Pavarde565          3.69
Vardas566           Pavarde566          3.97
Vardas568           Pavarde568          4.56
Vardas569           Pavarde569          4.43
Vardas573           Pavarde573          3.67
Vardas577           Pavarde577          2.28
Vardas578           Pavarde578          4.67
Vardas579           Pavarde579          4.75
Vardas581           Pavarde581          2.95
Vardas584           Pavarde584          4.85
Vardas585           Pavarde585          4.37
Vardas593           Pavarde593          2.79
Vardas594           Pavarde594          3.68
Vardas598           Pavarde598          2.89
Vardas600           Pavarde600          2.63
Vardas601           Pavarde601          3.04
Vardas602           Pavarde602          4.48
Vardas603           Pavarde603          3.25
Vardas605           Pavarde605          3.16
Vardas608           Pavarde608          3.75
Vardas609           Pavarde609          4.84
Vardas612           Pavarde612          3.01
Vardas614           Pavarde614          3.57
Vardas616           Pavarde616          4.05
Vardas618           Pavarde618          4.75
Vardas620           Pavarde620          4.15
Vardas626           Pavarde626          4.91
Vardas628           Pavarde628          3.99
Vardas629           Pavarde629          4.84
Vardas631           Pavarde631          4.97
Vardas634           Pavarde634          4.19
Vardas636           Pavarde636          4.15
Vardas637           Pavarde637          4.77
Vardas638           Pavarde638          4.64
Vardas639           Pavarde639          3.91
Vardas641           Pavarde641          3.53
Vardas643           Pavarde643          3.13
Vardas646           Pavarde646          3.31
Vardas648           Pavarde648          2.79
Vardas654           Pavarde654          4.97
Vardas658           Pavarde658          4.00
Vardas659           Pavarde659          3.09
Vardas660           Pavarde660          4.75
Vardas661           Pavarde661          3.17
Vardas662           Pavarde662          4.48
Vardas663           Pavarde663          3.05
Vardas664           Pavarde664          4.93
Vardas667           Pavarde667          4.99
Vardas668           Pavarde668          3.47
Vardas669           Pavarde669          3.51
Vardas671           Pavarde671          4.07
Vardas674           Pavarde674          3.91
Vardas676           Pavarde676          4.96
Vardas677           Pavarde677          3.75
Vardas681           Pavarde681          3.25
Vardas687           Pavarde687          3.23
Vardas688           Pavarde688          3.95
Vardas692           Pavarde692          3.91
Vardas699           Pavarde699          4.85
Vardas700           Pavarde700          3.31
Vardas701           Pavarde701          4.44
Vardas705           Pavarde705          3.96
Vardas706           Pavarde706          4.56
Vardas709           Pavarde709          4.61
Vardas710           Pavarde710          4.59
Vardas711           Pavarde711          4.81
Vardas712           Pavarde712          2.52
Vardas716           Pavarde716          3.68
Vardas721           Pavarde721          4.25
Vardas724           Pavarde724          4.75
Vardas726           Pavarde726          4.92
Vardas728           Pavarde728          2.49
Vardas731           Pavarde731          3.95
Vardas733           Pavarde733          4.67
Vardas737           Pavarde737          3.17
Vardas738           Pavarde738          4.12
Vardas743           Pavarde743          2.55
Vardas744           Pavarde744          3.08
Vardas746           Pavarde746          4.24
Vardas749           Pavarde749          4.17
Vardas750           Pavarde750          4.87
Vardas751           Pavarde751          4.59
Vardas756           Pavarde756          3.45
Vardas757           Pavarde757          2.60
Vardas762           Pavarde762          4.23
Vardas763           Pavarde763          3.32
Vardas764           Pavarde764          3.11
Vardas765           Pavarde765          4.31
Vardas767           Pavarde767          4.31
Vardas770           Pavarde770          3.80
Vardas771           Pavarde771          2.81
Vardas773           Pavarde773          3.29
Vardas777           Pavarde777          3.41
Vardas783           Pavarde783          3.77
Vardas784           Pavarde784          4.04
Vardas786           Pavarde786          2.52
Vardas789           Pavarde789          3.72
Vardas792           Pavarde792          2.92
Vardas793           Pavarde793          4.17
Vardas796           Pavarde796          4.69
Vardas797           Pavarde797          4.93
Vardas802           Pavarde802          4.43
Vardas813           Pavarde813          2.80
Vardas815           Pavarde815          4.93
Vardas816           Pavarde816          3.67
Vardas817           Pavarde817          4.07
Vardas822           Pavarde822          3.52
Vardas823           Pavarde823          4.96
Vardas824           Pavarde824          4.25
Vardas827           Pavarde827          2.47
Vardas831           Pavarde831          4.59
Vardas833           Pavarde833          4.33
Vardas834           Pavarde834          3.85
Vardas835           Pavarde835          4.07
Vardas836           Pavarde836          2.81
Vardas837           Pavarde837          3.57
Vardas838           Pavarde838          2.65
Vardas846           Pavarde846          3.27
Vardas847           Pavarde847          4.69
Vardas848           Pavarde848          3.43
Vardas852           Pavarde852          4.20
Vardas853           Pavarde853          3.85
Vardas860           Pavarde860          3.59
Vardas862           Pavarde862          2.49
Vardas864           Pavarde864          2.60
Vardas872           Pavarde872          4.72
Vardas873           Pavarde873          4.72
Vardas875           Pavarde875          4.01
Vardas876           Pavarde876          3.29
Vardas877           Pavarde877          4.59
Vardas878           Pavarde878          4.41
Vardas880           Pavarde880          4.15
Vardas883           Pavarde883          2.60
Vardas884           Pavarde884          2.47
Vardas886           Pavarde886          3.96
Vardas890           Pavarde890          3.23
Vardas892           Pavarde892          3.64
Vardas893           Pavarde893          2.81
Vardas894           Pavarde894          4.45
Vardas895           Pavarde895          4.88
Vardas896           Pavarde896          4.04
Vardas898           Pavarde898          4.61
Vardas900           Pavarde900          3.57
Vardas902           Pavarde902          3.12
Vardas903           Pavarde903          3.77
Vardas904           Pavarde904          3.99
Vardas906           Pavarde906          4.04
Vardas907           Pavarde907          3.47
Vardas908           Pavarde908          2.63
Vardas909           Pavarde909          3.85
Vardas914           Pavarde914          3.08
Vardas916           Pavarde916          4.59
Vardas919           Pavarde919          4.91
Vardas921           Pavarde921          3.55
Vardas923           Pavarde923          3.93
Vardas924           Pavarde924          4.69
Vardas925           Pavarde925          3.84
Vardas931           Pavarde931          2.56
Vardas937           Pavarde937          3.04
Vardas938           Pavarde938          4.31
Vardas939           Pavarde939          3.04
Vardas941           Pavarde941          2.76
Vardas942           Pavarde942          4.83
Vardas949           Pavarde949          2.60
Vardas950           Pavarde950          3.36
Vardas951           Pavarde951          3.96
Vardas960           Pavarde960          2.52
Vardas962           Pavarde962          4.69
Vardas964           Pavarde964          4.51
Vardas968           Pavarde968          4.92
Vardas969           Pavarde969          3.08
Vardas970           Pavarde970          3.04
Vardas971           Pavarde971          2.73
Vardas972           Pavarde972          3.05
Vardas973           Pavarde973          4.99
Vardas974           Pavarde974          2.49
Vardas982           Pavarde982          2.73
Vardas983           Pavarde983          4.88
Vardas985           Pavarde985          2.71
Vardas994           Pavarde994          4.53
Vardas1004          Pavarde1004         4.83
Vardas1005          Pavarde1005         3.17
Vardas1006          Pavarde1006         3.85
Vardas1007          Pavarde1007         2.41
Vardas1008          Pavarde1008         2.55
Vardas1010          Pavarde1010         3.55
Vardas1012          Pavarde1012         2.36
Vardas1014          Pavarde1014         3.23
Vardas1018          Pavarde1018         2.84
Vardas1019          Pavarde1019         3.57
Vardas1020          Pavarde1020         4.40
Vardas1021          Pavarde1021         2.71
Vardas1022          Pavarde1022         2.80
Vardas1024          Pavarde1024         4.33
Vardas1027          Pavarde1027         3.15
Vardas1028          Pavarde1028         4.25
Vardas1031          Pavarde1031         3.55
Vardas1032          Pavarde1032         4.88
Vardas1034          Pavarde1034         2.81
Vardas1037          Pavarde1037         3.55
Vardas1039          Pavarde1039         4.24
Vardas1040          Pavarde1040         3.59
Vardas1043          Pavarde1043         3.67
Vardas1047          Pavarde1047         3.25
Vardas1049          Pavarde1049         2.47
Vardas1050          Pavarde1050         4.43
Vardas1051          Pavarde1051         4.36
Vardas1052          Pavarde1052         3.05
Vardas1054          Pavarde1054         2.73
Vardas1058          Pavarde1058         3.05
Vardas1059          Pavarde1059         2.99
Vardas1060          Pavarde1060         4.84
Vardas1061          Pavarde1061         4.85
Vardas1063          Pavarde1063         3.44
Vardas1064          Pavarde1064         4.17
Vardas1065          Pavarde1065         3.20
Vardas1066          Pavarde1066         3.76
Vardas1068          Pavarde1068         3.48
Vardas1069          Pavarde1069         3.17
Vardas1071          Pavarde1071         4.13
Vardas1072          Pavarde1072         3.69
Vardas1073          Pavarde1073         4.27
Vardas1074          Pavarde1074         2.52
Vardas1075          Pavarde1075         4.99
Vardas1076          Pavarde1076         3.36
Vardas1077          Pavarde1077         3.05
Vardas1080          Pavarde1080         4.01
Vardas1082          Pavarde1082         3.00
Vardas1089          Pavarde1089         3.24
Vardas1091          Pavarde1091         4.48
Vardas1092          Pavarde1092         3.23
Vardas1093          Pavarde1093         4.56
Vardas1096          Pavarde1096         3.45
Vardas1097          Pavarde1097         4.12
Vardas1099          Pavarde1099         3.57
Vardas1101          Pavarde1101         3.80
Vardas1104          Pavarde1104         4.35
Vardas1107          Pavarde1107         3.05
Vardas1109          Pavarde1109         3.51
Vardas1110          Pavarde1110         2.95
Vardas1114          Pavarde1114         4.45
Vardas1116          Pavarde1116         3.99
Vardas1123          Pavarde1123         4.36
Vardas1124          Pavarde1124         2.81
Vardas1125          Pavarde1125         4.45
Vardas1126          Pavarde1126         2.44
Vardas1128          Pavarde1128         4.45
Vardas1129          Pavarde1129         3.08
Vardas1131          Pavarde1131         2.65
Vardas1134          Pavarde1134         2.83
Vardas1135          Pavarde1135         3.88
Vardas1137          Pavarde1137         4.93
Vardas1138          Pavarde1138         2.97
Vardas1139          Pavarde1139         4.59
Vardas1144          Pavarde1144         3.23
Vardas1147          Pavarde1147         3.87
Vardas1148          Pavarde1148         4.05
Vardas1151          Pavarde1151         3.76
Vardas1152          Pavarde1152         3.65
Vardas1153          Pavarde1153         2.33
Vardas1157          Pavarde1157         4.75
Vardas1158          Pavarde1158         4.69
Vardas1159          Pavarde1159         2.87
Vardas1162          Pavarde1162         3.49
Vardas1163          Pavarde1163         2.49
Vardas1164          Pavarde1164         4.80
Vardas1165          Pavarde1165         4.45
Vardas1167          Pavarde1167         3.64
Vardas1168          Pavarde1168         4.33
Vardas1169          Pavarde1169         2.68
Vardas1170          Pavarde1170         4.81
Vardas1171          Pavarde1171         4.89
Vardas1173          Pavarde1173         3.01
Vardas1179          Pavarde1179         4.31
Vardas1181          Pavarde1181         4.24
Vardas1184          Pavarde1184         3.11
Vardas1186          Pavarde1186         2.65
Vardas1191          Pavarde1191         2.83
Vardas1194          Pavarde1194         3.41
Vardas1195          Pavarde1195         3.07
Vardas1198          Pavarde1198         4.12
Vardas1200          Pavarde1200         4.67
Vardas1201          Pavarde1201         3.76
Vardas1203          Pavarde1203         2.47
Vardas1206          Pavarde1206         4.40
Vardas1207          Pavarde1207         2.15
Vardas1208          Pavarde1208         4.19
Vardas1209          Pavarde1209         4.29
Vardas1210          Pavarde1210         3.99
Vardas1212          Pavarde1212         3.15
Vardas1213          Pavarde1213         4.68
Vardas1214          Pavarde1214         2.31
Vardas1220          Pavarde1220         2.81
Vardas1222          Pavarde1222         4.23
Vardas1227          Pavarde1227         4.23
Vardas1231          Pavarde1231         4.41
Vardas1233          Pavarde1233         3.36
Vardas1236          Pavarde1236         2.89
Vardas1238          Pavarde1238         2.89
Vardas1239          Pavarde1239         2.57
Vardas1241          Pavarde1241         4.56
Vardas1245          Pavarde1245         4.36
Vardas1246          Pavarde1246         3.77
Vardas1249          Pavarde1249         3.20
Vardas1252          Pavarde1252         3.88
Vardas1253          Pavarde1253         4.08
Vardas1254          Pavarde1254         4.01
Vardas1255          Pavarde1255         3.45
Vardas1258          Pavarde1258         2.81
Vardas1261          Pavarde1261         4.83
Vardas1262          Pavarde1262         4.72
Vardas1263          Pavarde1263         4.32
Vardas1264          Pavarde1264         4.37
Vardas1269          Pavarde1269         3.99
Vardas1270          Pavarde1270         3.77
Vardas1271          Pavarde1271         3.43
Vardas1275          Pavarde1275         3.41
Vardas1277          Pavarde1277         2.76
Vardas1279          Pavarde1279         3.33
Vardas1284          Pavarde1284         4.51
Vardas1286          Pavarde1286         3.83
Vardas1287          Pavarde1287         3.84
Vardas1289          Pavarde1289         4.20
Vardas1290          Pavarde1290         4.87
Vardas1291          Pavarde1291         2.87
Vardas1292          Pavarde1292         4.53
Vardas1293          Pavarde1293         4.15
Vardas1298          Pavarde1298         4.15
Vardas1303          Pavarde1303         2.81
Vardas1304          Pavarde1304         3.91
Vardas1305          Pavarde1305         4.23
Vardas1306          Pavarde1306         2.95
Vardas1309          Pavarde1309         4.51
Vardas1312          Pavarde1312         3.57
Vardas1313          Pavarde1313         4.12
Vardas1314          Pavarde1314         3.85
Vardas1315          Pavarde1315         3.77
Vardas1316          Pavarde1316         3.68
Vardas1320          Pavarde1320         2.87
Vardas1321          Pavarde1321         2.89
Vardas1322          Pavarde1322         2.68
Vardas1325          Pavarde1325         4.09
Vardas1330          Pavarde1330         4.77
Vardas1338          Pavarde1338         3.61
Vardas1342          Pavarde1342         4.49
Vardas1343          Pavarde1343         2.80
Vardas1344          Pavarde1344         3.52
Vardas1345          Pavarde1345         4.19
Vardas1346          Pavarde1346         3.76
Vardas1349          Pavarde1349         3.77
Vardas1350          Pavarde1350         4.92
Vardas1356          Pavarde1356         4.59
Vardas1359          Pavarde1359         4.59
Vardas1371          Pavarde1371         3.80
Vardas1372          Pavarde1372         4.56
Vardas1373          Pavarde1373         4.27
Vardas1374          Pavarde1374         3.23
Vardas1376          Pavarde1376         3.85
Vardas1378          Pavarde1378         4.67
Vardas1380          Pavarde1380         3.83
Vardas1382          Pavarde1382         3.96
Vardas1384          Pavarde1384         2.89
Vardas1385          Pavarde1385         3.83
Vardas1386          Pavarde1386         3.77
Vardas1387          Pavarde1387         2.76
Vardas1390          Pavarde1390         2.33
Vardas1391          Pavarde1391         3.72
Vardas1395          Pavarde1395         4.71
Vardas1396          Pavarde1396         3.57
Vardas1398          Pavarde1398         4.43
Vardas1399          Pavarde1399         4.43
Vardas1403          Pavarde1403         3.96
Vardas1405          Pavarde1405         4.61
Vardas1413          Pavarde1413         3.27
Vardas1417          Pavarde1417         4.77
Vardas1418          Pavarde1418         4.96
Vardas1421          Pavarde1421         3.13
Vardas1425          Pavarde1425         2.57
Vardas1427          Pavarde1427         3.99
Vardas1428          Pavarde1428         4.21
Vardas1432          Pavarde1432         2.68
Vardas1433          Pavarde1433         3.79
Vardas1438          Pavarde1438         4.32
Vardas1445          Pavarde1445         3.85
Vardas1446          Pavarde1446         3.81
Vardas1447          Pavarde1447         2.92
Vardas1453          Pavarde1453         4.61
Vardas1456          Pavarde1456         2.81
Vardas1457          Pavarde1457         3.79
Vardas1462          Pavarde1462         4.56
Vardas1467          Pavarde1467         4.17
Vardas1468          Pavarde1468         4.28
Vardas1470          Pavarde1470         2.60
Vardas1471          Pavarde1471         4.77
Vardas1472          Pavarde1472         4.13
Vardas1474          Pavarde1474         2.79
Vardas1475          Pavarde1475         3.81
Vardas1476          Pavarde1476         4.77
Vardas1479          Pavarde1479         3.55
Vardas1481          Pavarde1481         4.68
Vardas1484          Pavarde1484         3.11
Vardas1485          Pavarde1485         2.95
Vardas1487          Pavarde1487         3.91
Vardas1489          Pavarde1489         4.40
Vardas1495          Pavarde1495         4.69
Vardas1499          Pavarde1499         3.12
Vardas1501          Pavarde1501         3.80
Vardas1502          Pavarde1502         4.71
Vardas1503          Pavarde1503         3.91
Vardas1504          Pavarde1504         2.79
Vardas1506          Pavarde1506         3.07
Vardas1507          Pavarde1507         3.08
Vardas1508          Pavarde1508         4.89
Vardas1509          Pavarde1509         2.25
Vardas1510          Pavarde1510         3.83
Vardas1511          Pavarde1511         3.31
Vardas1512          Pavarde1512         3.76
Vardas1513          Pavarde1513         3.64
Vardas1515          Pavarde1515         4.25
Vardas1517          Pavarde1517         4.89
Vardas1519          Pavarde1519         3.93
Vardas1522          Pavarde1522         3.95
Vardas1523          Pavarde1523         2.89
Vardas1525          Pavarde1525         3.96
Vardas1527          Pavarde1527         4.64
Vardas1528          Pavarde1528         3.41
Vardas1529          Pavarde1529         2.89
Vardas1530          Pavarde1530         3.80
Vardas1535          Pavarde1535         4.81
Vardas1536          Pavarde1536         3.01
Vardas1537          Pavarde1537         2.89
Vardas1539          Pavarde1539         3.91
Vardas1541          Pavarde1541         4.52
Vardas1543          Pavarde1543         3.73
Vardas1545          Pavarde1545         4.80
Vardas1546          Pavarde1546         4.17
Vardas1547          Pavarde1547         2.60
Vardas1555          Pavarde1555         3.32
Vardas1558          Pavarde1558         2.95
Vardas1559          Pavarde1559         4.57
Vardas1561          Pavarde1561         3.00
Vardas1563          Pavarde1563         2.52
Vardas1564          Pavarde1564         4.77
Vardas1565          Pavarde1565         4.77
Vardas1568          Pavarde1568         3.95
Vardas1570          Pavarde1570         3.31
Vardas1572          Pavarde1572         4.09
Vardas1574          Pavarde1574         3.23
Vardas1575          Pavarde1575         4.07
Vardas1577          Pavarde1577         2.89
Vardas1578          Pavarde1578         4.53
Vardas1579          Pavarde1579         4.76
Vardas1581          Pavarde1581         4.41
Vardas1582          Pavarde1582         4.95
Vardas1584          Pavarde1584         4.77
Vardas1585          Pavarde1585         3.07
Vardas1586          Pavarde1586         3.84
Vardas1589          Pavarde1589         2.52
Vardas1590          Pavarde1590         4.99
Vardas1591          Pavarde1591         4.49
Vardas1593          Pavarde1593         3.65
Vardas1594          Pavarde1594         4.20
Vardas1595          Pavarde1595         2.20
Vardas1598          Pavarde1598         4.43
Vardas1599          Pavarde1599         3.93
Vardas1600          Pavarde1600         4.41
Vardas1605          Pavarde1605         4.35
Vardas1606          Pavarde1606         2.49
Vardas1607          Pavarde1607         3.48
Vardas1608          Pavarde1608         4.41
Vardas1609          Pavarde1609         4.04
Vardas1611          Pavarde1611         4.96
Vardas1613          Pavarde1613         3.17
Vardas1615          Pavarde1615         4.67
Vardas1620          Pavarde1620         3.12
Vardas1623          Pavarde1623         3.64
Vardas1626          Pavarde1626         4.69
Vardas1627          Pavarde1627         4.12
Vardas1631          Pavarde1631         2.81
Vardas1632          Pavarde1632         3.41
Vardas1634          Pavarde1634         4.80
Vardas1635          Pavarde1635         4.28
Vardas1642          Pavarde1642         4.97
Vardas1644          Pavarde1644         4.43
Vardas1646          Pavarde1646         4.73
Vardas1649          Pavarde1649         4.40
Vardas1655          Pavarde1655         3.33
Vardas1661          Pavarde1661         3.21
Vardas1662          Pavarde1662         3.15
Vardas1666          Pavarde1666         2.95
Vardas1669          Pavarde1669         4.67
Vardas1670          Pavarde1670         4.11
Vardas1671          Pavarde1671         4.75
Vardas1672          Pavarde1672         4.56
Vardas1673          Pavarde1673         4.04
Vardas1677          Pavarde1677         4.21
Vardas1679          Pavarde1679         4.17
Vardas1682          Pavarde1682         3.93
Vardas1683          Pavarde1683         3.25
Vardas1684          Pavarde1684         3.11
Vardas1686          Pavarde1686         2.49
Vardas1688          Pavarde1688         4.15
Vardas1690          Pavarde1690         4.67
Vardas1691          Pavarde1691         2.73
Vardas1692          Pavarde1692         3.99
Vardas1696          Pavarde1696         4.37
Vardas1698          Pavarde1698         4.12
Vardas1699          Pavarde1699         2.92
Vardas1701          Pavarde1701         4.91
Vardas1703          Pavarde1703         2.92
Vardas1713          Pavarde1713         2.55
Vardas1715          Pavarde1715         3.43
Vardas1718          Pavarde1718         4.89
Vardas1719          Pavarde1719         3.55
Vardas1722          Pavarde1722         3.84
Vardas1723          Pavarde1723         4.01
Vardas1724          Pavarde1724         4.72
Vardas1727          Pavarde1727         3.60
Vardas1730          Pavarde1730         2.87
Vardas1733          Pavarde1733         3.19
Vardas1734          Pavarde1734         3.23
Vardas1736          Pavarde1736         3.88
Vardas1739          Pavarde1739         3.97
Vardas1741          Pavarde1741         4.95
Vardas1743          Pavarde1743         4.80
Vardas1744          Pavarde1744         3.63
Vardas1746          Pavarde1746         3.67
Vardas1747          Pavarde1747         2.63
Vardas1753          Pavarde1753         4.93
Vardas1755          Pavarde1755         4.53
Vardas1757          Pavarde1757         4.33
Vardas1759          Pavarde1759         4.93
Vardas1760          Pavarde1760         4.85
Vardas1761          Pavarde1761         4.96
Vardas1763          Pavarde1763         4.61
Vardas1765          Pavarde1765         4.39
Vardas1767          Pavarde1767         3.68
Vardas1769          Pavarde1769         2.97
Vardas1774          Pavarde1774         2.95
Vardas1776          Pavarde1776         2.63
Vardas1779          Pavarde1779         4.32
Vardas1781          Pavarde1781         4.37
Vardas1790          Pavarde1790         3.47
Vardas1794          Pavarde1794         2.81
Vardas1795          Pavarde1795         4.85
Vardas1800          Pavarde1800         4.55
Vardas1804          Pavarde1804         2.79
Vardas1807          Pavarde1807         3.73
Vardas1809          Pavarde1809         4.44
Vardas1815          Pavarde1815         4.88
Vardas1816          Pavarde1816         2.76
