Pavarde           Vardas                Galutinis (Vid.)    Galutinis (Med.)
Pavarde10095      Vardas10095                       6.46                6.20
Pavarde10096      Vardas10096                       7.00                7.20
Pavarde10097      Vardas10097                       2.92                2.40
Pavarde10098      Vardas10098                       6.16                6.40
Pavarde10099      Vardas10099                       3.56                3.00
Pavarde101        Vardas101                         7.30                7.00
Pavarde1010       Vardas1010                        5.96                6.20
Pavarde10100      Vardas10100                       2.96                2.60
Pavarde10101      Vardas10101                       2.90                3.00
Pavarde10102      Vardas10102                       8.04                8.20
Pavarde10103      Vardas10103                       7.72                7.60
Pavarde10104      Vardas10104                       4.46                4.20
Pavarde10105      Vardas10105                       7.56                8.00
Pavarde10106      Vardas10106                       2.66                2.40
Pavarde10107      Vardas10107                       8.00                8.00
Pavarde10108      Vardas10108                       4.28                4.20
Pavarde10109      Vardas10109                       2.64                2.60
Pavarde1011       Vardas1011                        6.04                6.40
Pavarde10110      Vardas10110                       5.42                5.20
Pavarde10111      Vardas10111                       5.22                5.00
Pavarde10112      Vardas10112                       4.60                5.00
Pavarde10113      Vardas10113                       5.56                5.20
Pavarde10114      Vardas10114                       7.64                7.80
Pavarde10115      Vardas10115                       8.08                8.00
Pavarde10116      Vardas10116                       6.58                6.60
Pavarde10117      Vardas10117                       5.88                5.40
Pavarde10118      Vardas10118                       7.24                7.00
Pavarde10119      Vardas10119                       4.90                4.60
Pavarde1012       Vardas1012                        4.64                4.80
Pavarde10120      Vardas10120                       4.76                5.00
Pavarde10121      Vardas10121                       5.90                6.20
Pavarde10122      Vardas10122                       6.48                6.80
Pavarde10123      Vardas10123                       5.80                5.80
Pavarde10124      Vardas10124                       7.90                7.60
Pavarde10125      Vardas10125                       7.76                7.20
Pavarde10126      Vardas10126                       6.18                6.00
Pavarde10127      Vardas10127                       3.84                4.00
Pavarde10128      Vardas10128                       8.28                8.60
Pavarde10129      Vardas10129                       5.66                5.60
Pavarde1013       Vardas1013                        8.28                8.40
Pavarde10130      Vardas10130                       4.44                4.60
Pavarde10131      Vardas10131                       2.70                2.60
Pavarde10132      Vardas10132                       4.48                4.40
Pavarde10133      Vardas10133                       5.72                5.40
Pavarde10134      Vardas10134                       2.80                2.60
Pavarde10135      Vardas10135                       6.58                6.60
Pavarde10136      Vardas10136                       5.12                5.00
Pavarde10137      Vardas10137                       5.30                5.80
Pavarde10138      Vardas10138                       6.42                6.40
Pavarde10139      Vardas10139                       6.94                6.80
Pavarde1014       Vardas1014                        7.60                7.40
Pavarde10140      Vardas10140                       5.36                5.40
Pavarde10141      Vardas10141                       3.36                3.40
Pavarde10142      Vardas10142                       8.28                8.00
Pavarde10143      Vardas10143                       2.72                3.00
Pavarde10144      Vardas10144                       5.98                6.40
Pavarde10145      Vardas10145                       5.92                6.00
Pavarde10146      Vardas10146                       7.04                7.20
Pavarde10147      Vardas10147                       4.50                4.60
Pavarde10148      Vardas10148                       7.74                7.60
Pavarde10149      Vardas10149                       8.42                8.60
Pavarde1015       Vardas1015                        5.58                5.20
Pavarde10150      Vardas10150                       7.42                7.40
Pavarde10151      Vardas10151                       3.60                3.60
Pavarde10152      Vardas10152                       4.96                4.80
Pavarde10153      Vardas10153                       4.36                4.20
Pavarde10154      Vardas10154                       5.72                5.40
Pavarde10155      Vardas10155                       8.04                7.80
Pavarde10156      Vardas10156                       6.92                7.20
Pavarde10157      Vardas10157                       6.82                6.80
Pavarde10158      Vardas10158                       2.64                2.80
Pavarde10159      Vardas10159                       6.28                6.00
Pavarde1016       Vardas1016                        3.12                3.00
Pavarde10160      Vardas10160                       4.92                5.40
Pavarde10161      Vardas10161                       6.42                6.60
Pavarde10162      Vardas10162                       3.90                3.60
Pavarde10163      Vardas10163                       4.12                4.00
Pavarde10164      Vardas10164                       8.26                8.20
Pavarde10165      Vardas10165                       3.80                3.60
Pavarde10166      Vardas10166                       6.80                6.80
Pavarde10167      Vardas10167                       2.52                1.80
Pavarde10168      Vardas10168                       7.76                7.80
Pavarde10169      Vardas10169                       2.84                2.60
Pavarde1017       Vardas1017                        5.78                5.80
Pavarde10170      Vardas10170                       2.50                2.40
Pavarde10171      Vardas10171                       6.18                5.80
Pavarde10172      Vardas10172                       6.16                6.20
Pavarde10173      Vardas10173                       5.74                5.60
Pavarde10174      Vardas10174                       4.40                4.20
Pavarde10175      Vardas10175                       8.32                8.60
Pavarde10176      Vardas10176                       7.26                7.40
Pavarde10177      Vardas10177                       5.46                5.20
Pavarde10178      Vardas10178                       2.38                2.20
Pavarde10179      Vardas10179                       5.76                5.80
Pavarde1018       Vardas1018                        6.62                6.40
Pavarde10180      Vardas10180                       4.32                4.60
Pavarde10181      Vardas10181                       2.92                2.60
Pavarde10182      Vardas10182                       5.14                5.00
Pavarde10183      Vardas10183                       7.32                7.60
Pavarde10184      Vardas10184                       4.86                4.80
Pavarde10185      Vardas10185                       2.94                2.80
Pavarde10186      Vardas10186                       7.68                7.60
Pavarde10187      Vardas10187                       5.32                5.20
Pavarde10188      Vardas10188                       6.30                6.00
Pavarde10189      Vardas10189                       3.44                3.60
Pavarde1019       Vardas1019                        4.54                4.40
Pavarde10190      Vardas10190                       3.78                3.40
Pavarde10191      Vardas10191                       4.46                4.20
Pavarde10192      Vardas10192                       8.04                8.20
Pavarde10193      Vardas10193                       7.56                7.40
Pavarde10194      Vardas10194                       3.82                3.80
Pavarde10195      Vardas10195                       3.54                3.40
Pavarde10196      Vardas10196                       5.16                5.00
Pavarde10197      Vardas10197                       3.22                2.80
Pavarde10198      Vardas10198                       5.92                6.00
Pavarde10199      Vardas10199                       4.70                4.80
Pavarde102        Vardas102                         8.28                8.80
Pavarde1020       Vardas1020                        7.24                7.40
Pavarde10200      Vardas10200                       7.94                7.60
Pavarde10201      Vardas10201                       4.00                4.00
Pavarde10202      Vardas10202                       4.12                4.00
Pavarde10203      Vardas10203                       4.56                4.20
Pavarde10204      Vardas10204                       7.60                7.80
Pavarde10205      Vardas10205                       6.06                5.60
Pavarde10206      Vardas10206                       5.62                5.60
Pavarde10207      Vardas10207                       6.04                6.40
Pavarde10208      Vardas10208                       4.46                4.40
Pavarde10209      Vardas10209                       6.22                6.20
Pavarde1021       Vardas1021                        5.64                5.80
Pavarde10210      Vardas10210                       7.70                7.80
Pavarde10211      Vardas10211                       6.14                6.00
Pavarde10212      Vardas10212                       4.08                4.20
Pavarde10213      Vardas10213                       4.22                4.00
Pavarde10214      Vardas10214                       6.66                6.00
Pavarde10215      Vardas10215                       2.72                2.60
Pavarde10216      Vardas10216                       5.20                4.80
Pavarde10217      Vardas10217                       5.40                5.20
Pavarde10218      Vardas10218                       4.64                4.40
Pavarde10219      Vardas10219                       6.26                6.60
Pavarde1022       Vardas1022                        6.26                6.00
Pavarde10220      Vardas10220                       4.80                4.80
Pavarde10221      Vardas10221                       7.12                7.00
Pavarde10222      Vardas10222                       6.46                6.40
Pavarde10223      Vardas10223                       6.64                6.60
Pavarde10224      Vardas10224                       6.38                6.20
Pavarde10225      Vardas10225                       5.18                5.20
Pavarde10226      Vardas10226                       3.54                3.20
Pavarde10227      Vardas10227                       5.74                6.00
Pavarde10228      Vardas10228                       5.56                5.60
Pavarde10229      Vardas10229                       3.72                3.80
Pavarde1023       Vardas1023                        5.82                5.60
Pavarde10230      Vardas10230                       4.40                4.40
Pavarde10231      Vardas10231                       4.84                4.80
Pavarde10232      Vardas10232                       3.12                3.20
Pavarde10233      Vardas10233                       4.80                4.60
Pavarde10234      Vardas10234                       6.76                6.80
Pavarde10235      Vardas10235                       5.16                5.20
Pavarde10236      Vardas10236                       2.66                2.60
Pavarde10237      Vardas10237                       8.40                8.40
Pavarde10238      Vardas10238                       8.72                8.80
Pavarde10239      Vardas10239                       3.10                3.80
Pavarde1024       Vardas1024                        4.18                4.40
Pavarde10240      Vardas10240                       8.38                8.60
Pavarde10241      Vardas10241                       3.82                3.60
Pavarde10242      Vardas10242                       5.60                5.60
Pavarde10243      Vardas10243                       7.24                7.40
Pavarde10244      Vardas10244                       5.92                5.80
Pavarde10245      Vardas10245                       7.40                7.20
Pavarde10246      Vardas10246                       5.56                5.80
Pavarde10247      Vardas10247                       7.10                7.20
Pavarde10248      Vardas10248                       4.52                4.60
Pavarde10249      Vardas10249                       6.16                6.20
Pavarde1025       Vardas1025                        3.20                3.00
Pavarde10250      Vardas10250                       8.38                8.40
Pavarde10251      Vardas10251                       3.16                3.00
Pavarde10252      Vardas10252                       8.24                8.40
Pavarde10253      Vardas10253                       5.72                5.60
Pavarde10254      Vardas10254                       8.60                8.60
Pavarde10255      Vardas10255                       7.20                7.20
Pavarde10256      Vardas10256                       8.00                8.20
Pavarde10257      Vardas10257                       5.70                5.80
Pavarde10258      Vardas10258                       6.74                6.60
Pavarde10259      Vardas10259                       7.24                7.40
Pavarde1026       Vardas1026                        7.74                7.60
Pavarde10260      Vardas10260                       4.84                5.00
Pavarde10261      Vardas10261                       3.38                3.40
Pavarde10262      Vardas10262                       2.20                2.00
Pavarde10263      Vardas10263                       4.78                4.80
Pavarde10264      Vardas10264                       4.90                5.00
Pavarde10265      Vardas10265                       5.60                5.40
Pavarde10266      Vardas10266                       5.88                5.60
Pavarde10267      Vardas10267                       7.52                7.80
Pavarde10268      Vardas10268                       4.86                4.80
Pavarde10269      Vardas10269                       2.84                2.80
Pavarde1027       Vardas1027                        7.06                6.60
Pavarde10270      Vardas10270                       3.74                3.60
Pavarde10271      Vardas10271                       7.52                7.60
Pavarde10272      Vardas10272                       5.22                5.40
Pavarde10273      Vardas10273                       3.66                4.00
Pavarde10274      Vardas10274                       6.96                6.80
Pavarde10275      Vardas10275                       4.38                4.40
Pavarde10276      Vardas10276                       7.58                8.00
Pavarde10277      Vardas10277                       5.86                5.80
Pavarde10278      Vardas10278                       6.36                6.00
Pavarde10279      Vardas10279                       7.74                8.20
Pavarde1028       Vardas1028                        3.38                3.60
Pavarde10280      Vardas10280                       5.72                6.00
Pavarde10281      Vardas10281                       7.20                7.40
Pavarde10282      Vardas10282                       3.44                3.60
Pavarde10283      Vardas10283                       6.96                6.80
Pavarde10284      Vardas10284                       3.70                4.00
Pavarde10285      Vardas10285                       6.76                6.80
Pavarde10286      Vardas10286                       6.56                6.60
Pavarde10287      Vardas10287                       4.84                4.80
Pavarde10288      Vardas10288                       4.14                4.40
Pavarde10289      Vardas10289                       7.48                7.60
Pavarde1029       Vardas1029                        5.34                5.20
Pavarde10290      Vardas10290                       6.54                7.00
Pavarde10291      Vardas10291                       7.04                7.20
Pavarde10292      Vardas10292                       8.18                8.40
Pavarde10293      Vardas10293                       6.42                6.60
Pavarde10294      Vardas10294                       4.08                4.40
Pavarde10295      Vardas10295                       4.84                5.00
Pavarde10296      Vardas10296                       7.56                7.60
Pavarde10297      Vardas10297                       3.34                3.40
Pavarde10298      Vardas10298                       8.30                8.40
Pavarde10299      Vardas10299                       7.36                7.40
Pavarde103        Vardas103                         5.08                5.00
Pavarde1030       Vardas1030                        6.96                7.00
Pavarde10300      Vardas10300                       5.08                5.00
Pavarde10301      Vardas10301                       3.80                4.20
Pavarde10302      Vardas10302                       2.56                2.40
Pavarde10303      Vardas10303                       4.38                4.40
Pavarde10304      Vardas10304                       6.26                6.00
Pavarde10305      Vardas10305                       3.70                3.80
Pavarde10306      Vardas10306                       7.76                8.20
Pavarde10307      Vardas10307                       4.18                4.00
Pavarde10308      Vardas10308                       4.36                4.20
Pavarde10309      Vardas10309                       6.02                6.00
Pavarde1031       Vardas1031                        3.66                3.80
Pavarde10310      Vardas10310                       6.44                6.40
Pavarde10311      Vardas10311                       7.76                7.80
Pavarde10312      Vardas10312                       2.78                3.00
Pavarde10313      Vardas10313                       7.22                7.40
Pavarde10314      Vardas10314                       3.10                3.60
Pavarde10315      Vardas10315                       3.58                3.40
Pavarde10316      Vardas10316                       6.90                7.00
Pavarde10317      Vardas10317                       5.34                5.60
Pavarde10318      Vardas10318                       5.30                5.00
Pavarde10319      Vardas10319                       7.80                8.00
Pavarde1032       Vardas1032                        6.56                6.40
Pavarde10320      Vardas10320                       8.20                8.40
Pavarde10321      Vardas10321                       7.28                7.20
Pavarde10322      Vardas10322                       4.46                4.60
Pavarde10323      Vardas10323                       7.54                7.60
Pavarde10324      Vardas10324                       6.82                7.00
Pavarde10325      Vardas10325                       5.72                6.00
Pavarde10326      Vardas10326                       5.98                6.00
Pavarde10327      Vardas10327                       4.24                4.60
Pavarde10328      Vardas10328                       3.80                3.80
Pavarde10329      Vardas10329                       3.84                3.40
Pavarde1033       Vardas1033                        6.56                6.60
Pavarde10330      Vardas10330                       2.86                3.00
Pavarde10331      Vardas10331                       8.20                8.20
Pavarde10332      Vardas10332                       6.12                5.80
Pavarde10333      Vardas10333                       5.32                5.60
Pavarde10334      Vardas10334                       4.24                4.20
Pavarde10335      Vardas10335                       6.34                6.20
Pavarde10336      Vardas10336                       2.54                2.60
Pavarde10337      Vardas10337                       7.02                7.20
Pavarde10338      Vardas10338                       7.46                7.20
Pavarde10339      Vardas10339                       5.52                6.00
Pavarde1034       Vardas1034                        3.34                3.20
Pavarde10340      Vardas10340                       7.92                7.80
Pavarde10341      Vardas10341                       4.92                5.20
Pavarde10342      Vardas10342                       7.16                6.80
Pavarde10343      Vardas10343                       3.32                3.40
Pavarde10344      Vardas10344                       6.14                6.00
Pavarde10345      Vardas10345                       8.54                8.80
Pavarde10346      Vardas10346                       8.38                8.40
Pavarde10347      Vardas10347                       3.40                3.80
Pavarde10348      Vardas10348                       3.44                3.60
Pavarde10349      Vardas10349                       3.20                3.40
Pavarde1035       Vardas1035                        6.82                6.60
Pavarde10350      Vardas10350                       5.18                5.20
Pavarde10351      Vardas10351                       7.36                7.20
Pavarde10352      Vardas10352                       3.00                3.00
Pavarde10353      Vardas10353                       3.54                3.60
Pavarde10354      Vardas10354                       4.46                4.40
Pavarde10355      Vardas10355                       5.56                5.80
Pavarde10356      Vardas10356                       2.64                2.20
Pavarde10357      Vardas10357                       6.28                6.20
Pavarde10358      Vardas10358                       7.96                8.00
Pavarde10359      Vardas10359                       2.80                2.40
Pavarde1036       Vardas1036                        8.06                8.00
Pavarde10360      Vardas10360                       5.78                5.60
Pavarde10361      Vardas10361                       5.68                5.60
Pavarde10362      Vardas10362                       8.34                8.40
Pavarde10363      Vardas10363                       4.18                4.00
Pavarde10364      Vardas10364                       6.80                6.80
Pavarde10365      Vardas10365                       2.72                2.60
Pavarde10366      Vardas10366                       7.64                7.80
Pavarde10367      Vardas10367                       4.36                4.20
Pavarde10368      Vardas10368                       6.50                7.00
Pavarde10369      Vardas10369                       6.14                5.60
Pavarde1037       Vardas1037                        5.64                5.60
Pavarde10370      Vardas10370                       7.82                8.00
Pavarde10371      Vardas10371                       5.56                5.20
Pavarde10372      Vardas10372                       4.24                4.20
Pavarde10373      Vardas10373                       5.42                5.40
Pavarde10374      Vardas10374                       3.22                3.00
Pavarde10375      Vardas10375                       6.78                7.00
Pavarde10376      Vardas10376                       4.18                4.20
Pavarde10377      Vardas10377                       8.20                8.40
Pavarde10378      Vardas10378                       6.20                6.40
Pavarde10379      Vardas10379                       4.98                5.20
Pavarde1038       Vardas1038                        5.46                5.40
Pavarde10380      Vardas10380                       2.84                2.60
Pavarde10381      Vardas10381                       6.46                6.60
Pavarde10382      Vardas10382                       4.52                4.20
Pavarde10383      Vardas10383                       3.70                3.80
Pavarde10384      Vardas10384                       7.12                7.40
Pavarde10385      Vardas10385                       5.54                5.40
Pavarde10386      Vardas10386                       4.74                5.20
Pavarde10387      Vardas10387                       5.78                5.60
Pavarde10388      Vardas10388                       6.64                6.60
Pavarde10389      Vardas10389                       6.96                6.80
Pavarde1039       Vardas1039                        3.18                3.00
Pavarde10390      Vardas10390                       3.66                4.00
Pavarde10391      Vardas10391                       6.76                6.80
Pavarde10392      Vardas10392                       3.16                3.20
Pavarde10393      Vardas10393                       5.70                5.60
Pavarde10394      Vardas10394                       2.90                2.60
Pavarde10395      Vardas10395                       5.04                5.00
Pavarde10396      Vardas10396                       7.70                7.80
Pavarde10397      Vardas10397                       3.14                3.00
Pavarde10398      Vardas10398                       4.72                4.40
Pavarde10399      Vardas10399                       4.42                4.40
Pavarde104        Vardas104                         7.26                7.60
Pavarde1040       Vardas1040                        4.94                5.20
Pavarde10400      Vardas10400                       5.38                5.60
Pavarde10401      Vardas10401                       3.64                3.40
Pavarde10402      Vardas10402                       5.74                6.00
Pavarde10403      Vardas10403                       6.62                6.20
Pavarde10404      Vardas10404                       3.98                4.20
Pavarde10405      Vardas10405                       5.50                5.60
Pavarde10406      Vardas10406                       5.24                5.20
Pavarde10407      Vardas10407                       6.54                6.60
Pavarde10408      Vardas10408                       7.44                7.60
Pavarde10409      Vardas10409                       2.78                2.60
Pavarde1041       Vardas1041                        8.68                9.20
Pavarde10410      Vardas10410                       4.46                4.00
Pavarde10411      Vardas10411                       4.02                4.20
Pavarde10412      Vardas10412                       2.54                2.20
Pavarde10413      Vardas10413                       7.96                8.00
Pavarde10414      Vardas10414                       4.12                4.40
Pavarde10415      Vardas10415                       6.24                6.20
Pavarde10416      Vardas10416                       6.34                6.40
Pavarde10417      Vardas10417                       4.08                4.40
Pavarde10418      Vardas10418                       4.98                5.00
Pavarde10419      Vardas10419                       6.42                6.20
Pavarde1042       Vardas1042                        5.36                5.40
Pavarde10420      Vardas10420                       8.46                8.80
Pavarde10421      Vardas10421                       7.74                7.60
Pavarde10422      Vardas10422                       7.16                7.40
Pavarde10423      Vardas10423                       3.92                4.00
Pavarde10424      Vardas10424                       5.80                5.80
Pavarde10425      Vardas10425                       5.56                5.20
Pavarde10426      Vardas10426                       2.68                2.20
Pavarde10427      Vardas10427                       8.32                8.60
Pavarde10428      Vardas10428                       7.28                7.20
Pavarde10429      Vardas10429                       2.90                2.60
Pavarde1043       Vardas1043                        8.38                8.60
Pavarde10430      Vardas10430                       4.40                4.20
Pavarde10431      Vardas10431                       4.98                4.80
Pavarde10432      Vardas10432                       3.42                3.60
Pavarde10433      Vardas10433                       4.40                4.60
Pavarde10434      Vardas10434                       6.46                6.60
Pavarde10435      Vardas10435                       2.46                2.20
Pavarde10436      Vardas10436                       6.52                6.60
Pavarde10437      Vardas10437                       3.98                3.80
Pavarde10438      Vardas10438                       4.12                4.40
Pavarde10439      Vardas10439                       7.54                8.20
Pavarde1044       Vardas1044                        3.88                3.80
Pavarde10440      Vardas10440                       3.18                3.00
Pavarde10441      Vardas10441                       2.54                2.60
Pavarde10442      Vardas10442                       3.26                3.60
Pavarde10443      Vardas10443                       4.10                4.40
Pavarde10444      Vardas10444                       8.14                7.80
Pavarde10445      Vardas10445                       7.14                7.20
Pavarde10446      Vardas10446                       3.98                4.40
Pavarde10447      Vardas10447                       3.18                2.80
Pavarde10448      Vardas10448                       5.26                5.40
Pavarde10449      Vardas10449                       7.34                7.60
Pavarde1045       Vardas1045                        8.00                8.20
Pavarde10450      Vardas10450                       2.80                2.80
Pavarde10451      Vardas10451                       3.06                3.20
Pavarde10452      Vardas10452                       6.16                6.00
Pavarde10453      Vardas10453                       6.20                6.40
Pavarde10454      Vardas10454                       5.86                6.00
Pavarde10455      Vardas10455                       6.98                7.20
Pavarde10456      Vardas10456                       6.30                6.20
Pavarde10457      Vardas10457                       6.04                5.80
Pavarde10458      Vardas10458                       3.66                3.40
Pavarde10459      Vardas10459                       6.06                6.00
Pavarde1046       Vardas1046                        3.42                3.60
Pavarde10460      Vardas10460                       6.88                7.20
Pavarde10461      Vardas10461                       2.70                2.60
Pavarde10462      Vardas10462                       7.06                7.00
Pavarde10463      Vardas10463                       4.38                4.40
Pavarde10464      Vardas10464                       5.54                6.00
Pavarde10465      Vardas10465                       7.00                7.20
Pavarde10466      Vardas10466                       2.50                2.00
Pavarde10467      Vardas10467                       2.70                2.40
Pavarde10468      Vardas10468                       5.62                5.60
Pavarde10469      Vardas10469                       4.66                4.80
Pavarde1047       Vardas1047                        5.72                5.80
Pavarde10470      Vardas10470                       4.34                4.40
Pavarde10471      Vardas10471                       6.44                6.60
Pavarde10472      Vardas10472                       6.56                6.40
Pavarde10473      Vardas10473                       2.84                2.80
Pavarde10474      Vardas10474                       2.78                2.80
Pavarde10475      Vardas10475                       7.96                7.60
Pavarde10476      Vardas10476                       4.42                4.00
Pavarde10477      Vardas10477                       6.06                6.20
Pavarde10478      Vardas10478                       7.32                7.00
Pavarde10479      Vardas10479                       4.62                4.60
Pavarde1048       Vardas1048                        5.40                5.00
Pavarde10480      Vardas10480                       7.68                7.40
Pavarde10481      Vardas10481                       4.44                4.40
Pavarde10482      Vardas10482                       7.10                7.40
Pavarde10483      Vardas10483                       3.86                3.80
Pavarde10484      Vardas10484                       3.34                2.80
Pavarde10485      Vardas10485                       7.90                8.00
Pavarde10486      Vardas10486                       4.32                4.40
Pavarde10487      Vardas10487                       7.44                8.00
Pavarde10488      Vardas10488                       7.20                7.20
Pavarde10489      Vardas10489                       6.68                6.80
Pavarde1049       Vardas1049                        4.86                4.60
Pavarde10490      Vardas10490                       5.56                6.00
Pavarde10491      Vardas10491                       7.84                7.80
Pavarde10492      Vardas10492                       8.42                8.40
Pavarde10493      Vardas10493                       6.12                6.20
Pavarde10494      Vardas10494                       7.48                7.40
Pavarde10495      Vardas10495                       7.84                8.40
Pavarde10496      Vardas10496                       6.34                6.20
Pavarde10497      Vardas10497                       4.84                4.40
Pavarde10498      Vardas10498                       5.48                5.40
Pavarde10499      Vardas10499                       2.80                2.60
Pavarde105        Vardas105                         7.02                7.20
Pavarde1050       Vardas1050                        5.72                5.40
Pavarde10500      Vardas10500                       4.92                5.20
Pavarde10501      Vardas10501                       8.24                8.40
Pavarde10502      Vardas10502                       8.12                8.20
Pavarde10503      Vardas10503                       7.96                8.00
Pavarde10504      Vardas10504                       8.00                8.80
Pavarde10505      Vardas10505                       6.02                6.40
Pavarde10506      Vardas10506                       4.52                4.60
Pavarde10507      Vardas10507                       7.14                7.20
Pavarde10508      Vardas10508                       3.36                3.40
Pavarde10509      Vardas10509                       5.28                5.40
Pavarde1051       Vardas1051                        5.64                5.20
Pavarde10510      Vardas10510                       8.36                8.40
Pavarde10511      Vardas10511                       2.54                2.40
Pavarde10512      Vardas10512                       6.58                7.00
Pavarde10513      Vardas10513                       5.06                5.00
Pavarde10514      Vardas10514                       4.98                4.80
Pavarde10515      Vardas10515                       5.48                5.40
Pavarde10516      Vardas10516                       5.38                5.40
Pavarde10517      Vardas10517                       2.88                2.80
Pavarde10518      Vardas10518                       3.14                3.20
