Vardas              Pavarde             Galutinis      
Vardas159           Pavarde159          4.77
Vardas163           Pavarde163          3.72
Vardas164           Pavarde164          4.16
Vardas165           Pavarde165          4.91
Vardas167           Pavarde167          2.68
Vardas170           Pavarde170          3.79
Vardas172           Pavarde172          4.67
Vardas174           Pavarde174          4.83
Vardas175           Pavarde175          3.57
Vardas176           Pavarde176          3.23
Vardas180           Pavarde180          3.29
Vardas181           Pavarde181          3.60
Vardas185           Pavarde185          3.63
Vardas186           Pavarde186          3.03
Vardas193           Pavarde193          3.72
Vardas194           Pavarde194          3.33
Vardas196           Pavarde196          4.04
Vardas204           Pavarde204          3.03
Vardas211           Pavarde211          4.21
Vardas212           Pavarde212          4.45
Vardas215           Pavarde215          3.67
Vardas216           Pavarde216          4.48
Vardas217           Pavarde217          4.08
Vardas220           Pavarde220          3.49
Vardas221           Pavarde221          3.60
Vardas224           Pavarde224          2.87
Vardas228           Pavarde228          3.15
Vardas230           Pavarde230          3.16
Vardas231           Pavarde231          3.85
Vardas233           Pavarde233          3.93
Vardas234           Pavarde234          3.95
Vardas239           Pavarde239          4.40
Vardas241           Pavarde241          2.84
Vardas244           Pavarde244          3.17
Vardas247           Pavarde247          3.95
Vardas249           Pavarde249          2.95
Vardas252           Pavarde252          4.24
Vardas255           Pavarde255          3.05
Vardas259           Pavarde259          3.00
Vardas260           Pavarde260          4.43
Vardas262           Pavarde262          4.64
Vardas265           Pavarde265          3.93
Vardas268           Pavarde268          3.07
Vardas269           Pavarde269          4.01
Vardas270           Pavarde270          3.37
Vardas272           Pavarde272          3.11
Vardas273           Pavarde273          3.89
Vardas277           Pavarde277          3.20
Vardas280           Pavarde280          3.31
Vardas286           Pavarde286          4.04
Vardas287           Pavarde287          2.60
Vardas288           Pavarde288          2.49
Vardas289           Pavarde289          2.55
Vardas291           Pavarde291          3.93
Vardas292           Pavarde292          4.95
Vardas293           Pavarde293          2.41
Vardas295           Pavarde295          4.59
Vardas300           Pavarde300          2.33
Vardas301           Pavarde301          3.55
Vardas302           Pavarde302          4.24
Vardas303           Pavarde303          4.07
Vardas304           Pavarde304          4.43
Vardas314           Pavarde314          3.15
Vardas315           Pavarde315          3.28
Vardas316           Pavarde316          3.63
Vardas319           Pavarde319          3.79
Vardas320           Pavarde320          3.49
Vardas321           Pavarde321          4.95
Vardas324           Pavarde324          3.17
Vardas326           Pavarde326          3.15
Vardas327           Pavarde327          4.01
Vardas328           Pavarde328          3.65
Vardas333           Pavarde333          3.96
Vardas337           Pavarde337          3.33
Vardas340           Pavarde340          3.00
Vardas341           Pavarde341          3.79
Vardas343           Pavarde343          4.64
Vardas344           Pavarde344          4.00
Vardas345           Pavarde345          3.73
Vardas347           Pavarde347          4.43
Vardas354           Pavarde354          3.39
Vardas356           Pavarde356          4.15
Vardas357           Pavarde357          2.93
Vardas358           Pavarde358          2.65
Vardas360           Pavarde360          3.79
Vardas361           Pavarde361          2.41
Vardas362           Pavarde362          3.31
Vardas367           Pavarde367          3.11
Vardas371           Pavarde371          4.37
Vardas372           Pavarde372          3.57
Vardas373           Pavarde373          2.55
Vardas377           Pavarde377          2.65
Vardas379           Pavarde379          4.97
Vardas386           Pavarde386          4.47
Vardas387           Pavarde387          3.41
Vardas389           Pavarde389          4.27
Vardas390           Pavarde390          2.89
Vardas391           Pavarde391          3.03
Vardas392           Pavarde392          2.84
Vardas393           Pavarde393          3.96
Vardas394           Pavarde394          4.79
Vardas397           Pavarde397          3.03
Vardas400           Pavarde400          3.23
Vardas402           Pavarde402          3.35
Vardas403           Pavarde403          4.29
Vardas404           Pavarde404          4.56
Vardas405           Pavarde405          3.43
Vardas406           Pavarde406          3.44
Vardas409           Pavarde409          2.65
Vardas410           Pavarde410          4.04
Vardas413           Pavarde413          4.45
Vardas417           Pavarde417          2.44
Vardas419           Pavarde419          2.68
Vardas422           Pavarde422          3.85
Vardas424           Pavarde424          2.87
Vardas429           Pavarde429          2.97
Vardas430           Pavarde430          3.23
Vardas431           Pavarde431          4.67
Vardas433           Pavarde433          3.20
Vardas438           Pavarde438          2.60
Vardas442           Pavarde442          4.41
Vardas443           Pavarde443          2.89
Vardas448           Pavarde448          4.69
Vardas453           Pavarde453          4.95
Vardas454           Pavarde454          4.12
Vardas455           Pavarde455          2.33
Vardas456           Pavarde456          3.11
Vardas459           Pavarde459          2.71
Vardas461           Pavarde461          2.57
Vardas463           Pavarde463          2.63
Vardas464           Pavarde464          3.51
Vardas468           Pavarde468          3.03
Vardas469           Pavarde469          2.28
Vardas471           Pavarde471          3.00
Vardas474           Pavarde474          4.76
Vardas475           Pavarde475          2.81
Vardas479           Pavarde479          3.52
Vardas481           Pavarde481          4.45
Vardas485           Pavarde485          2.76
Vardas486           Pavarde486          3.76
Vardas488           Pavarde488          4.91
Vardas493           Pavarde493          3.23
Vardas494           Pavarde494          3.79
Vardas495           Pavarde495          4.59
Vardas497           Pavarde497          4.07
Vardas499           Pavarde499          4.64
Vardas501           Pavarde501          4.25
Vardas505           Pavarde505          3.28
Vardas506           Pavarde506          2.71
Vardas512           Pavarde512          4.23
Vardas515           Pavarde515          3.55
Vardas517           Pavarde517          4.87
Vardas519           Pavarde519          3.44
Vardas520           Pavarde520          4.67
Vardas521           Pavarde521          4.71
Vardas522           Pavarde522          4.84
Vardas523           Pavarde523          4.67
Vardas525           Pavarde525          4.33
Vardas529           Pavarde529          4.84
Vardas531           Pavarde531          4.92
Vardas533           Pavarde533          4.43
Vardas540           Pavarde540          3.68
Vardas541           Pavarde541          2.97
Vardas542           Pavarde542          4.97
Vardas550           Pavarde550          4.25
Vardas551           Pavarde551          3.23
Vardas554           Pavarde554          4.13
Vardas558           Pavarde558          4.39
Vardas561           Pavarde561          4.40
Vardas563           Pavarde563          3.68
Vardas565           Pavarde565          3.05
Vardas567           Pavarde567          4.49
Vardas568           Pavarde568          3.17
Vardas569           Pavarde569          3.67
Vardas570           Pavarde570          4.64
Vardas574           Pavarde574          2.36
Vardas576           Pavarde576          4.61
Vardas577           Pavarde577          4.29
Vardas578           Pavarde578          3.75
Vardas580           Pavarde580          3.77
Vardas581           Pavarde581          3.91
Vardas585           Pavarde585          2.73
Vardas586           Pavarde586          2.87
Vardas592           Pavarde592          2.23
Vardas597           Pavarde597          2.55
Vardas598           Pavarde598          3.36
Vardas599           Pavarde599          4.56
Vardas600           Pavarde600          4.19
Vardas602           Pavarde602          4.69
Vardas604           Pavarde604          2.91
Vardas606           Pavarde606          2.95
Vardas608           Pavarde608          3.28
Vardas612           Pavarde612          3.52
Vardas614           Pavarde614          3.63
Vardas615           Pavarde615          3.91
Vardas616           Pavarde616          2.97
Vardas622           Pavarde622          3.55
Vardas624           Pavarde624          4.49
Vardas627           Pavarde627          3.84
Vardas632           Pavarde632          3.08
Vardas633           Pavarde633          3.09
Vardas635           Pavarde635          3.59
Vardas636           Pavarde636          3.80
Vardas637           Pavarde637          4.31
Vardas638           Pavarde638          2.71
Vardas639           Pavarde639          3.63
Vardas640           Pavarde640          2.23
Vardas642           Pavarde642          4.40
Vardas644           Pavarde644          3.88
Vardas647           Pavarde647          2.65
Vardas657           Pavarde657          4.45
Vardas662           Pavarde662          4.09
Vardas670           Pavarde670          4.51
Vardas673           Pavarde673          4.72
Vardas674           Pavarde674          2.71
Vardas675           Pavarde675          4.77
Vardas680           Pavarde680          3.57
Vardas681           Pavarde681          4.37
Vardas682           Pavarde682          2.79
Vardas684           Pavarde684          4.13
Vardas693           Pavarde693          4.95
Vardas694           Pavarde694          4.84
Vardas697           Pavarde697          4.77
Vardas698           Pavarde698          3.61
Vardas700           Pavarde700          4.43
Vardas701           Pavarde701          3.95
Vardas707           Pavarde707          3.25
Vardas709           Pavarde709          3.85
Vardas713           Pavarde713          4.80
Vardas714           Pavarde714          4.77
Vardas715           Pavarde715          3.08
Vardas716           Pavarde716          4.07
Vardas719           Pavarde719          4.56
Vardas722           Pavarde722          3.99
Vardas723           Pavarde723          4.17
Vardas724           Pavarde724          3.76
Vardas725           Pavarde725          3.67
Vardas726           Pavarde726          4.71
Vardas729           Pavarde729          3.41
Vardas731           Pavarde731          3.55
Vardas734           Pavarde734          4.37
Vardas735           Pavarde735          3.72
Vardas736           Pavarde736          3.44
Vardas737           Pavarde737          4.61
Vardas739           Pavarde739          3.61
Vardas740           Pavarde740          3.31
Vardas741           Pavarde741          4.59
Vardas742           Pavarde742          4.39
Vardas743           Pavarde743          3.47
Vardas745           Pavarde745          4.59
Vardas747           Pavarde747          3.33
Vardas749           Pavarde749          4.49
Vardas751           Pavarde751          3.35
Vardas753           Pavarde753          4.27
Vardas754           Pavarde754          4.64
Vardas756           Pavarde756          4.17
Vardas758           Pavarde758          4.71
Vardas761           Pavarde761          2.87
Vardas764           Pavarde764          2.49
Vardas767           Pavarde767          2.97
Vardas770           Pavarde770          4.43
Vardas777           Pavarde777          3.61
Vardas778           Pavarde778          3.33
Vardas779           Pavarde779          4.28
Vardas780           Pavarde780          3.99
Vardas781           Pavarde781          2.91
Vardas782           Pavarde782          3.01
Vardas783           Pavarde783          3.09
Vardas785           Pavarde785          4.99
Vardas787           Pavarde787          4.81
Vardas789           Pavarde789          3.59
Vardas792           Pavarde792          3.55
Vardas794           Pavarde794          3.53
Vardas796           Pavarde796          2.92
Vardas799           Pavarde799          3.41
Vardas802           Pavarde802          3.36
Vardas810           Pavarde810          3.49
Vardas811           Pavarde811          3.00
Vardas812           Pavarde812          2.44
Vardas813           Pavarde813          3.63
Vardas814           Pavarde814          4.32
Vardas821           Pavarde821          3.76
Vardas822           Pavarde822          4.36
Vardas827           Pavarde827          3.21
Vardas843           Pavarde843          4.59
Vardas845           Pavarde845          2.41
Vardas848           Pavarde848          3.64
Vardas849           Pavarde849          4.67
Vardas851           Pavarde851          4.29
Vardas854           Pavarde854          3.93
Vardas857           Pavarde857          3.36
Vardas860           Pavarde860          3.39
Vardas861           Pavarde861          3.68
Vardas862           Pavarde862          4.09
Vardas864           Pavarde864          3.73
Vardas866           Pavarde866          2.52
Vardas869           Pavarde869          2.76
Vardas873           Pavarde873          4.23
Vardas874           Pavarde874          4.61
Vardas877           Pavarde877          4.00
Vardas878           Pavarde878          4.51
Vardas879           Pavarde879          3.23
Vardas881           Pavarde881          2.57
Vardas883           Pavarde883          4.59
Vardas885           Pavarde885          2.84
Vardas886           Pavarde886          3.33
Vardas888           Pavarde888          3.96
Vardas893           Pavarde893          3.57
Vardas894           Pavarde894          4.73
Vardas895           Pavarde895          4.96
Vardas900           Pavarde900          2.87
Vardas902           Pavarde902          4.76
Vardas903           Pavarde903          4.81
Vardas904           Pavarde904          2.67
Vardas906           Pavarde906          3.01
Vardas907           Pavarde907          4.53
Vardas908           Pavarde908          4.79
Vardas909           Pavarde909          4.16
Vardas910           Pavarde910          3.31
Vardas913           Pavarde913          2.87
Vardas915           Pavarde915          2.73
Vardas918           Pavarde918          2.52
Vardas921           Pavarde921          4.80
Vardas922           Pavarde922          4.59
Vardas924           Pavarde924          3.08
Vardas927           Pavarde927          4.20
Vardas930           Pavarde930          4.51
Vardas931           Pavarde931          4.51
Vardas932           Pavarde932          3.75
Vardas933           Pavarde933          2.89
Vardas935           Pavarde935          3.44
Vardas939           Pavarde939          4.80
Vardas940           Pavarde940          3.15
Vardas948           Pavarde948          3.67
Vardas953           Pavarde953          3.96
Vardas954           Pavarde954          2.41
Vardas955           Pavarde955          4.97
Vardas956           Pavarde956          3.39
Vardas958           Pavarde958          3.33
Vardas965           Pavarde965          4.45
Vardas966           Pavarde966          2.95
Vardas972           Pavarde972          3.37
Vardas973           Pavarde973          3.77
Vardas975           Pavarde975          3.91
Vardas979           Pavarde979          3.13
Vardas981           Pavarde981          2.65
Vardas984           Pavarde984          3.28
Vardas988           Pavarde988          3.61
Vardas991           Pavarde991          2.63
Vardas993           Pavarde993          4.85
Vardas998           Pavarde998          4.55
Vardas1000          Pavarde1000         2.36
Vardas1002          Pavarde1002         4.53
Vardas1005          Pavarde1005         4.89
Vardas1010          Pavarde1010         3.72
Vardas1012          Pavarde1012         2.71
Vardas1014          Pavarde1014         4.04
Vardas1016          Pavarde1016         3.60
Vardas1017          Pavarde1017         2.95
Vardas1018          Pavarde1018         4.39
Vardas1022          Pavarde1022         3.05
Vardas1023          Pavarde1023         2.63
Vardas1025          Pavarde1025         2.88
Vardas1027          Pavarde1027         4.56
Vardas1029          Pavarde1029         4.01
Vardas1034          Pavarde1034         4.84
Vardas1036          Pavarde1036         4.64
Vardas1037          Pavarde1037         3.61
Vardas1038          Pavarde1038         2.55
Vardas1042          Pavarde1042         3.08
Vardas1044          Pavarde1044         4.97
Vardas1046          Pavarde1046         4.45
Vardas1049          Pavarde1049         4.04
Vardas1050          Pavarde1050         4.68
Vardas1051          Pavarde1051         4.31
Vardas1053          Pavarde1053         2.81
Vardas1055          Pavarde1055         4.40
Vardas1058          Pavarde1058         3.33
Vardas1059          Pavarde1059         4.55
Vardas1061          Pavarde1061         2.49
Vardas1062          Pavarde1062         3.88
Vardas1063          Pavarde1063         2.73
Vardas1066          Pavarde1066         3.39
Vardas1068          Pavarde1068         4.20
Vardas1072          Pavarde1072         4.84
Vardas1075          Pavarde1075         2.25
Vardas1079          Pavarde1079         3.96
Vardas1085          Pavarde1085         3.49
Vardas1088          Pavarde1088         2.55
Vardas1089          Pavarde1089         3.91
Vardas1090          Pavarde1090         4.88
Vardas1092          Pavarde1092         4.09
Vardas1103          Pavarde1103         3.60
Vardas1104          Pavarde1104         3.53
Vardas1108          Pavarde1108         3.33
Vardas1113          Pavarde1113         3.57
Vardas1114          Pavarde1114         4.12
Vardas1121          Pavarde1121         3.11
Vardas1122          Pavarde1122         2.57
Vardas1124          Pavarde1124         4.40
Vardas1129          Pavarde1129         3.88
Vardas1130          Pavarde1130         4.48
Vardas1131          Pavarde1131         4.39
Vardas1132          Pavarde1132         3.79
Vardas1133          Pavarde1133         3.53
Vardas1135          Pavarde1135         2.81
Vardas1136          Pavarde1136         3.24
Vardas1137          Pavarde1137         3.25
Vardas1139          Pavarde1139         4.20
Vardas1140          Pavarde1140         4.23
Vardas1142          Pavarde1142         2.47
Vardas1143          Pavarde1143         3.44
Vardas1146          Pavarde1146         4.67
Vardas1147          Pavarde1147         2.68
Vardas1149          Pavarde1149         4.97
Vardas1157          Pavarde1157         4.51
Vardas1163          Pavarde1163         4.59
Vardas1166          Pavarde1166         4.77
Vardas1170          Pavarde1170         4.72
Vardas1172          Pavarde1172         4.11
Vardas1174          Pavarde1174         3.31
Vardas1175          Pavarde1175         3.52
Vardas1176          Pavarde1176         3.73
Vardas1177          Pavarde1177         3.61
Vardas1178          Pavarde1178         2.63
Vardas1179          Pavarde1179         3.36
Vardas1182          Pavarde1182         3.43
Vardas1183          Pavarde1183         4.36
Vardas1185          Pavarde1185         3.16
Vardas1189          Pavarde1189         3.73
Vardas1192          Pavarde1192         3.99
Vardas1197          Pavarde1197         3.57
Vardas1201          Pavarde1201         2.79
Vardas1202          Pavarde1202         3.31
Vardas1203          Pavarde1203         4.09
Vardas1205          Pavarde1205         2.87
Vardas1208          Pavarde1208         4.13
Vardas1209          Pavarde1209         4.08
Vardas1212          Pavarde1212         3.33
Vardas1215          Pavarde1215         4.15
Vardas1217          Pavarde1217         3.63
Vardas1219          Pavarde1219         3.68
Vardas1221          Pavarde1221         4.19
Vardas1222          Pavarde1222         2.04
Vardas1223          Pavarde1223         2.76
Vardas1224          Pavarde1224         4.27
Vardas1225          Pavarde1225         4.17
Vardas1226          Pavarde1226         2.97
Vardas1227          Pavarde1227         4.32
Vardas1231          Pavarde1231         4.83
Vardas1233          Pavarde1233         2.84
Vardas1236          Pavarde1236         3.31
Vardas1238          Pavarde1238         4.81
Vardas1241          Pavarde1241         3.81
Vardas1244          Pavarde1244         3.09
Vardas1247          Pavarde1247         2.63
Vardas1257          Pavarde1257         4.11
Vardas1260          Pavarde1260         4.40
Vardas1262          Pavarde1262         3.80
Vardas1263          Pavarde1263         3.04
Vardas1264          Pavarde1264         4.31
Vardas1267          Pavarde1267         3.49
Vardas1268          Pavarde1268         4.21
Vardas1269          Pavarde1269         4.17
Vardas1270          Pavarde1270         2.79
Vardas1275          Pavarde1275         4.97
Vardas1280          Pavarde1280         3.05
Vardas1281          Pavarde1281         4.43
Vardas1283          Pavarde1283         3.28
Vardas1288          Pavarde1288         3.73
Vardas1289          Pavarde1289         4.79
Vardas1294          Pavarde1294         3.41
Vardas1295          Pavarde1295         2.81
Vardas1297          Pavarde1297         4.23
Vardas1298          Pavarde1298         2.84
Vardas1299          Pavarde1299         4.85
Vardas1303          Pavarde1303         3.61
Vardas1304          Pavarde1304         4.27
Vardas1305          Pavarde1305         4.92
Vardas1306          Pavarde1306         2.87
Vardas1307          Pavarde1307         4.61
Vardas1310          Pavarde1310         2.71
Vardas1312          Pavarde1312         4.16
Vardas1313          Pavarde1313         3.07
Vardas1314          Pavarde1314         4.40
Vardas1318          Pavarde1318         3.75
Vardas1319          Pavarde1319         4.97
Vardas1320          Pavarde1320         3.08
Vardas1323          Pavarde1323         4.43
Vardas1324          Pavarde1324         3.33
Vardas1326          Pavarde1326         4.93
Vardas1327          Pavarde1327         4.87
Vardas1328          Pavarde1328         2.73
Vardas1329          Pavarde1329         3.31
Vardas1330          Pavarde1330         3.73
Vardas1333          Pavarde1333         3.63
Vardas1341          Pavarde1341         3.09
Vardas1342          Pavarde1342         4.81
Vardas1343          Pavarde1343         3.72
Vardas1345          Pavarde1345         2.47
Vardas1347          Pavarde1347         4.69
Vardas1351          Pavarde1351         4.73
Vardas1352          Pavarde1352         3.16
Vardas1353          Pavarde1353         4.85
Vardas1354          Pavarde1354         4.44
Vardas1356          Pavarde1356         4.87
Vardas1357          Pavarde1357         4.69
Vardas1358          Pavarde1358         4.43
Vardas1362          Pavarde1362         2.65
Vardas1363          Pavarde1363         2.91
Vardas1364          Pavarde1364         4.75
Vardas1365          Pavarde1365         4.29
Vardas1368          Pavarde1368         4.29
Vardas1371          Pavarde1371         4.35
Vardas1373          Pavarde1373         3.21
Vardas1374          Pavarde1374         4.37
Vardas1376          Pavarde1376         4.73
Vardas1381          Pavarde1381         4.27
Vardas1384          Pavarde1384         4.59
Vardas1388          Pavarde1388         2.92
Vardas1392          Pavarde1392         3.79
Vardas1393          Pavarde1393         4.49
Vardas1396          Pavarde1396         4.51
Vardas1397          Pavarde1397         3.00
Vardas1398          Pavarde1398         3.36
Vardas1402          Pavarde1402         4.40
Vardas1405          Pavarde1405         4.17
Vardas1407          Pavarde1407         4.11
Vardas1411          Pavarde1411         4.59
Vardas1413          Pavarde1413         3.16
Vardas1414          Pavarde1414         3.24
Vardas1420          Pavarde1420         2.87
Vardas1421          Pavarde1421         2.49
Vardas1422          Pavarde1422         2.76
Vardas1425          Pavarde1425         3.93
Vardas1431          Pavarde1431         4.32
Vardas1432          Pavarde1432         3.85
Vardas1435          Pavarde1435         2.85
Vardas1438          Pavarde1438         2.68
Vardas1439          Pavarde1439         2.60
Vardas1440          Pavarde1440         3.91
Vardas1446          Pavarde1446         3.31
Vardas1447          Pavarde1447         3.61
Vardas1448          Pavarde1448         2.84
Vardas1449          Pavarde1449         4.00
Vardas1450          Pavarde1450         4.17
Vardas1452          Pavarde1452         4.80
Vardas1453          Pavarde1453         3.61
Vardas1454          Pavarde1454         4.77
Vardas1456          Pavarde1456         2.63
Vardas1462          Pavarde1462         2.41
Vardas1463          Pavarde1463         4.97
Vardas1467          Pavarde1467         3.12
Vardas1470          Pavarde1470         2.44
Vardas1477          Pavarde1477         3.05
Vardas1479          Pavarde1479         4.95
Vardas1480          Pavarde1480         2.87
Vardas1482          Pavarde1482         4.97
Vardas1484          Pavarde1484         3.92
Vardas1487          Pavarde1487         3.37
Vardas1488          Pavarde1488         3.56
Vardas1490          Pavarde1490         2.63
Vardas1491          Pavarde1491         4.27
Vardas1502          Pavarde1502         3.57
Vardas1503          Pavarde1503         3.59
Vardas1504          Pavarde1504         4.04
Vardas1509          Pavarde1509         4.23
Vardas1511          Pavarde1511         3.57
Vardas1514          Pavarde1514         4.97
Vardas1515          Pavarde1515         2.36
Vardas1517          Pavarde1517         4.80
Vardas1518          Pavarde1518         4.91
Vardas1520          Pavarde1520         3.04
Vardas1522          Pavarde1522         4.43
Vardas1524          Pavarde1524         2.81
Vardas1525          Pavarde1525         3.47
Vardas1526          Pavarde1526         2.33
Vardas1527          Pavarde1527         4.97
Vardas1529          Pavarde1529         3.19
Vardas1530          Pavarde1530         4.07
Vardas1531          Pavarde1531         3.83
Vardas1533          Pavarde1533         3.92
Vardas1534          Pavarde1534         4.87
Vardas1537          Pavarde1537         3.68
Vardas1538          Pavarde1538         4.07
Vardas1539          Pavarde1539         4.17
Vardas1544          Pavarde1544         4.45
Vardas1545          Pavarde1545         2.60
Vardas1546          Pavarde1546         4.64
Vardas1548          Pavarde1548         4.85
Vardas1549          Pavarde1549         2.15
Vardas1552          Pavarde1552         3.76
Vardas1553          Pavarde1553         3.27
Vardas1554          Pavarde1554         3.52
Vardas1556          Pavarde1556         2.71
Vardas1557          Pavarde1557         4.79
Vardas1558          Pavarde1558         3.01
Vardas1559          Pavarde1559         4.61
Vardas1560          Pavarde1560         3.35
Vardas1564          Pavarde1564         4.35
Vardas1565          Pavarde1565         2.33
Vardas1569          Pavarde1569         2.93
Vardas1571          Pavarde1571         4.79
Vardas1574          Pavarde1574         2.52
Vardas1575          Pavarde1575         2.76
Vardas1578          Pavarde1578         3.28
Vardas1580          Pavarde1580         3.15
Vardas1582          Pavarde1582         4.27
Vardas1583          Pavarde1583         2.73
Vardas1584          Pavarde1584         3.07
Vardas1586          Pavarde1586         3.65
Vardas1588          Pavarde1588         2.93
Vardas1589          Pavarde1589         4.64
Vardas1590          Pavarde1590         2.76
Vardas1594          Pavarde1594         2.79
Vardas1598          Pavarde1598         4.61
Vardas1601          Pavarde1601         3.39
Vardas1608          Pavarde1608         2.65
Vardas1609          Pavarde1609         3.96
Vardas1610          Pavarde1610         3.33
Vardas1614          Pavarde1614         4.09
Vardas1615          Pavarde1615         3.41
Vardas1616          Pavarde1616         3.21
Vardas1617          Pavarde1617         2.97
Vardas1619          Pavarde1619         3.25
Vardas1622          Pavarde1622         3.05
Vardas1624          Pavarde1624         3.16
Vardas1625          Pavarde1625         4.64
Vardas1626          Pavarde1626         4.79
Vardas1629          Pavarde1629         3.09
Vardas1631          Pavarde1631         2.76
Vardas1633          Pavarde1633         3.25
Vardas1636          Pavarde1636         4.83
Vardas1637          Pavarde1637         4.32
Vardas1640          Pavarde1640         3.77
Vardas1641          Pavarde1641         4.24
Vardas1644          Pavarde1644         3.03
Vardas1645          Pavarde1645         4.53
Vardas1646          Pavarde1646         4.24
Vardas1647          Pavarde1647         3.83
Vardas1649          Pavarde1649         3.93
Vardas1651          Pavarde1651         4.31
Vardas1652          Pavarde1652         2.49
Vardas1655          Pavarde1655         2.68
Vardas1656          Pavarde1656         3.04
Vardas1659          Pavarde1659         3.72
Vardas1660          Pavarde1660         3.88
Vardas1661          Pavarde1661         3.55
Vardas1663          Pavarde1663         4.32
Vardas1665          Pavarde1665         3.64
Vardas1667          Pavarde1667         3.12
Vardas1672          Pavarde1672         4.08
Vardas1675          Pavarde1675         4.48
Vardas1676          Pavarde1676         3.85
Vardas1677          Pavarde1677         4.43
Vardas1685          Pavarde1685         3.28
Vardas1686          Pavarde1686         3.93
Vardas1687          Pavarde1687         2.88
Vardas1689          Pavarde1689         2.71
Vardas1692          Pavarde1692         2.97
Vardas1695          Pavarde1695         3.35
Vardas1696          Pavarde1696         2.96
Vardas1697          Pavarde1697         4.61
Vardas1699          Pavarde1699         4.85
Vardas1701          Pavarde1701         2.55
Vardas1705          Pavarde1705         3.41
Vardas1706          Pavarde1706         2.79
Vardas1707          Pavarde1707         4.56
Vardas1708          Pavarde1708         2.68
Vardas1709          Pavarde1709         3.85
Vardas1710          Pavarde1710         3.99
Vardas1711          Pavarde1711         3.03
Vardas1714          Pavarde1714         2.57
Vardas1716          Pavarde1716         4.44
Vardas1717          Pavarde1717         4.29
Vardas1718          Pavarde1718         3.23
Vardas1719          Pavarde1719         2.76
Vardas1720          Pavarde1720         4.13
Vardas1721          Pavarde1721         4.31
Vardas1724          Pavarde1724         2.71
Vardas1727          Pavarde1727         4.31
Vardas1731          Pavarde1731         3.63
Vardas1734          Pavarde1734         3.55
Vardas1735          Pavarde1735         3.88
Vardas1736          Pavarde1736         4.12
Vardas1737          Pavarde1737         2.89
Vardas1738          Pavarde1738         2.75
Vardas1743          Pavarde1743         4.32
Vardas1744          Pavarde1744         4.37
Vardas1747          Pavarde1747         3.93
Vardas1749          Pavarde1749         3.19
Vardas1750          Pavarde1750         3.05
Vardas1751          Pavarde1751         4.15
Vardas1752          Pavarde1752         4.04
Vardas1754          Pavarde1754         2.76
Vardas1756          Pavarde1756         3.33
Vardas1758          Pavarde1758         3.43
Vardas1760          Pavarde1760         4.35
Vardas1762          Pavarde1762         3.13
Vardas1763          Pavarde1763         4.43
Vardas1765          Pavarde1765         3.39
Vardas1768          Pavarde1768         2.36
Vardas1769          Pavarde1769         2.77
Vardas1772          Pavarde1772         3.64
Vardas1775          Pavarde1775         2.73
Vardas1776          Pavarde1776         4.81
Vardas1778          Pavarde1778         3.88
Vardas1779          Pavarde1779         4.29
Vardas1782          Pavarde1782         4.79
Vardas1786          Pavarde1786         3.33
Vardas1788          Pavarde1788         2.71
Vardas1791          Pavarde1791         4.92
