Vardas              Pavarde             ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9   ND10  ND11  ND12  ND13  ND14  ND15  Egz.  
Vardas72            Pavarde72           8     6     3     10    2     3     2     2     1     1     3     3     8     6     5     10    
Vardas73            Pavarde73           1     5     2     2     3     5     10    9     5     2     8     5     8     8     1     7     
Vardas74            Pavarde74           6     2     3     6     1     5     9     3     9     10    8     2     5     9     9     5     
Vardas75            Pavarde75           6     8     3     9     1     5     6     6     6     8     3     7     8     7     7     6     
Vardas76            Pavarde76           4     2     2     7     1     7     1     9     6     3     7     7     5     8     5     10    
Vardas77            Pavarde77           7     7     10    9     9     1     3     6     1     6     6     2     6     7     6     3     
Vardas78            Pavarde78           5     6     8     3     9     10    8     2     3     3     3     7     3     10    8     4     
Vardas79            Pavarde79           10    3     3     6     1     2     6     5     5     6     4     9     8     6     7     2     
Vardas80            Pavarde80           8     9     7     7     10    1     9     10    4     6     5     1     6     5     5     5     
Vardas81            Pavarde81           2     5     10    9     9     1     8     8     8     1     10    10    9     7     1     7     
Vardas82            Pavarde82           10    10    3     8     1     6     3     5     5     6     6     7     4     7     1     8     
Vardas83            Pavarde83           8     4     9     9     10    3     4     9     10    1     10    8     6     8     8     9     
Vardas84            Pavarde84           1     3     2     4     6     5     1     4     7     1     4     3     5     9     9     7     
Vardas85            Pavarde85           4     1     4     2     2     9     1     5     3     2     3     1     9     5     4     6     
Vardas86            Pavarde86           1     1     3     6     2     10    6     2     8     6     9     7     8     6     9     7     
Vardas87            Pavarde87           10    3     2     8     3     7     6     3     8     10    10    2     2     6     6     1     
Vardas88            Pavarde88           8     1     9     9     7     6     7     4     7     7     9     3     4     9     5     6     
Vardas89            Pavarde89           2     7     6     9     1     1     9     1     7     6     2     6     7     8     10    4     
Vardas90            Pavarde90           5     7     3     2     7     3     5     10    2     4     8     7     4     7     10    8     
Vardas91            Pavarde91           10    4     8     6     8     7     7     7     6     7     6     10    3     2     7     6     
Vardas92            Pavarde92           8     1     3     9     2     1     4     10    5     10    6     9     10    6     9     10    
Vardas93            Pavarde93           3     4     8     7     9     8     8     10    8     4     2     2     1     9     9     4     
Vardas94            Pavarde94           5     4     9     4     2     9     4     7     6     10    6     8     10    10    3     8     
Vardas95            Pavarde95           4     9     1     3     6     4     7     3     2     5     10    3     3     4     3     9     
Vardas96            Pavarde96           1     1     10    3     7     4     10    2     1     6     4     3     8     5     8     5     
Vardas97            Pavarde97           7     3     6     1     6     3     9     5     9     8     4     5     7     6     6     6     
Vardas98            Pavarde98           10    8     3     1     9     7     9     1     2     2     5     2     3     5     2     10    
Vardas99            Pavarde99           8     8     10    10    9     2     9     1     8     6     3     4     2     6     10    3     
Vardas100           Pavarde100          1     5     4     10    2     4     7     5     7     3     4     6     8     9     9     2     
Vardas101           Pavarde101          9     7     8     3     6     7     6     10    4     2     6     6     6     2     9     9     
Vardas102           Pavarde102          6     10    2     8     6     6     5     9     2     2     9     1     5     1     2     6     
Vardas103           Pavarde103          4     2     8     2     7     2     6     6     5     1     4     9     4     2     4     5     
Vardas104           Pavarde104          8     5     9     7     2     7     2     9     2     6     5     6     9     3     1     9     
Vardas105           Pavarde105          7     5     4     7     4     7     10    10    2     10    7     4     4     10    9     6     
Vardas106           Pavarde106          6     3     7     10    7     8     8     5     4     7     5     7     8     5     4     7     
Vardas107           Pavarde107          5     10    10    2     7     7     6     8     7     9     4     2     7     7     6     6     
Vardas108           Pavarde108          1     5     7     8     2     8     10    10    5     6     5     1     3     8     2     1     
Vardas109           Pavarde109          3     7     9     10    2     9     5     8     10    1     10    9     9     1     6     10    
Vardas110           Pavarde110          2     8     6     10    7     6     9     3     6     6     3     6     10    4     6     8     
Vardas111           Pavarde111          3     3     7     9     2     9     6     8     5     6     5     6     7     4     7     8     
Vardas112           Pavarde112          8     10    3     7     1     6     3     4     2     3     3     8     8     2     9     7     
Vardas113           Pavarde113          10    10    7     2     4     9     10    10    9     2     4     10    1     2     3     2     
Vardas114           Pavarde114          9     9     2     8     7     5     3     5     1     8     10    4     2     5     8     5     
Vardas115           Pavarde115          4     1     9     9     5     7     8     2     10    2     2     4     10    9     10    6     
Vardas116           Pavarde116          2     2     5     1     2     1     9     4     10    9     6     7     5     7     5     2     
Vardas117           Pavarde117          2     6     7     10    7     7     4     4     6     7     6     3     8     2     8     9     
Vardas118           Pavarde118          9     6     8     10    4     7     2     4     2     7     9     2     8     4     1     4     
Vardas119           Pavarde119          10    4     6     9     6     6     2     10    8     10    1     1     9     9     5     9     
Vardas120           Pavarde120          6     6     6     4     9     8     6     9     7     9     3     1     10    10    9     10    
Vardas121           Pavarde121          5     9     1     3     2     5     4     5     10    4     8     1     10    2     6     5     
Vardas122           Pavarde122          4     3     6     6     10    2     9     4     4     8     9     6     8     4     3     5     
Vardas123           Pavarde123          2     5     5     1     10    7     6     9     5     8     3     8     4     6     1     6     
Vardas124           Pavarde124          4     8     3     9     1     7     10    2     3     7     1     5     1     2     2     5     
Vardas125           Pavarde125          3     3     5     6     6     4     1     4     4     4     7     1     8     3     3     2     
Vardas126           Pavarde126          4     9     4     5     10    3     4     5     4     2     2     4     9     3     10    2     
Vardas127           Pavarde127          2     2     8     8     7     7     9     4     5     8     10    10    4     5     10    9     
Vardas128           Pavarde128          6     10    2     8     7     3     9     2     1     9     3     8     5     8     5     4     
Vardas129           Pavarde129          2     4     1     10    8     3     8     3     3     7     2     4     10    1     6     5     
Vardas130           Pavarde130          10    8     7     7     1     8     3     1     7     7     1     8     6     4     9     3     
Vardas131           Pavarde131          1     6     1     4     2     7     6     10    7     5     8     1     9     8     3     7     
Vardas132           Pavarde132          9     4     4     5     3     6     6     8     9     7     9     10    2     1     7     6     
Vardas133           Pavarde133          1     10    8     3     8     4     1     7     7     7     7     4     5     5     3     10    
Vardas134           Pavarde134          1     2     2     6     4     4     4     3     2     6     8     2     10    2     4     4     
Vardas135           Pavarde135          5     6     2     9     5     10    1     1     2     3     5     4     7     6     3     8     
Vardas136           Pavarde136          6     3     8     4     3     3     5     8     8     7     8     10    6     1     10    8     
Vardas137           Pavarde137          10    1     1     6     6     2     1     1     4     2     10    6     3     3     9     5     
Vardas138           Pavarde138          2     4     8     6     4     3     8     4     5     7     3     6     10    2     9     4     
Vardas139           Pavarde139          6     8     1     8     5     9     4     3     4     9     4     3     7     8     10    4     
Vardas140           Pavarde140          4     6     1     2     4     3     2     2     10    8     6     5     9     1     5     9     
Vardas141           Pavarde141          3     7     7     7     7     10    3     10    3     9     1     4     4     1     3     6     
Vardas142           Pavarde142          5     3     2     7     10    10    8     5     5     8     6     7     7     4     10    7     
Vardas143           Pavarde143          6     4     6     3     3     2     10    6     5     5     10    8     8     9     10    3     
Vardas144           Pavarde144          1     8     1     10    8     10    8     5     10    2     9     1     6     1     3     10    
Vardas145           Pavarde145          1     3     4     4     4     9     5     10    8     7     8     2     8     6     8     5     
Vardas146           Pavarde146          7     1     7     10    3     2     4     9     4     10    1     7     5     2     3     10    
Vardas147           Pavarde147          2     3     9     5     2     8     8     3     8     1     6     8     7     8     8     4     
Vardas148           Pavarde148          9     1     3     1     10    8     1     2     10    9     2     7     5     6     4     3     
Vardas149           Pavarde149          2     5     10    3     6     7     4     3     7     9     6     10    9     2     3     3     
Vardas150           Pavarde150          5     6     7     1     5     6     5     10    7     9     4     7     4     8     5     2     
Vardas151           Pavarde151          4     1     5     2     7     9     1     4     1     8     4     6     4     5     2     4     
Vardas152           Pavarde152          1     2     9     6     9     4     5     3     9     4     10    2     1     1     4     8     
Vardas153           Pavarde153          3     6     3     6     6     2     4     5     7     10    4     3     6     4     10    5     
Vardas154           Pavarde154          2     8     2     5     6     2     9     8     4     6     6     9     3     7     5     4     
Vardas155           Pavarde155          6     10    10    4     6     2     3     4     7     7     10    4     7     4     1     2     
Vardas156           Pavarde156          4     8     5     4     2     7     2     7     3     10    4     9     1     1     2     3     
Vardas157           Pavarde157          9     5     8     3     2     6     5     10    6     1     6     4     1     6     4     1     
Vardas158           Pavarde158          4     9     8     8     1     2     4     5     4     3     3     1     7     9     9     9     
Vardas159           Pavarde159          5     6     9     5     2     2     4     3     1     6     10    4     3     9     8     9     
Vardas160           Pavarde160          3     7     6     3     5     7     5     8     8     8     1     8     7     8     3     1     
Vardas161           Pavarde161          8     4     7     1     7     8     9     10    10    3     2     2     10    5     1     2     
Vardas162           Pavarde162          5     9     2     3     10    4     7     7     4     9     3     4     9     10    6     1     
Vardas163           Pavarde163          5     9     6     4     4     1     10    2     9     10    7     9     7     9     8     5     
Vardas164           Pavarde164          1     6     3     4     1     10    2     2     7     1     9     2     3     5     7     7     
Vardas165           Pavarde165          4     1     6     5     7     4     5     6     7     6     8     10    9     9     10    8     
Vardas166           Pavarde166          1     3     7     6     10    10    6     5     6     2     4     10    2     1     10    7     
Vardas167           Pavarde167          10    3     1     10    7     4     2     10    9     8     7     5     10    4     2     7     
Vardas168           Pavarde168          9     7     1     5     3     1     3     4     1     3     4     6     4     5     4     1     
Vardas169           Pavarde169          10    5     7     9     3     2     10    9     7     4     5     10    3     5     1     5     
Vardas170           Pavarde170          6     7     9     7     3     10    9     2     5     8     6     10    4     7     10    2     
Vardas171           Pavarde171          6     2     10    4     1     3     10    9     9     10    4     7     1     5     1     7     
Vardas172           Pavarde172          5     10    5     9     10    10    7     10    3     6     2     3     6     8     3     5     
Vardas173           Pavarde173          10    5     10    2     4     2     5     4     5     5     7     5     9     6     7     1     
Vardas174           Pavarde174          8     10    4     6     6     7     5     10    10    9     2     1     6     2     8     10    
Vardas175           Pavarde175          4     2     9     5     7     7     3     4     6     8     7     7     4     10    8     1     
Vardas176           Pavarde176          2     8     1     8     5     1     8     10    4     6     4     7     2     6     5     10    
Vardas177           Pavarde177          10    9     8     2     3     2     5     7     3     3     8     6     10    7     6     3     
Vardas178           Pavarde178          7     8     6     5     1     1     1     4     4     7     6     6     5     7     3     2     
Vardas179           Pavarde179          2     2     1     3     4     10    4     9     8     2     7     3     7     3     10    9     
Vardas180           Pavarde180          5     3     2     6     9     9     4     9     10    9     5     2     7     5     3     1     
Vardas181           Pavarde181          9     2     1     5     2     3     8     10    2     6     4     7     3     1     2     6     
Vardas182           Pavarde182          9     4     3     6     6     1     9     5     8     9     3     3     10    7     8     6     
Vardas183           Pavarde183          4     9     10    7     7     1     10    1     9     5     9     4     3     9     6     6     
Vardas184           Pavarde184          7     5     5     9     2     9     4     7     2     7     1     2     2     1     2     10    
Vardas185           Pavarde185          8     2     10    3     2     10    6     1     4     1     7     6     3     9     3     7     
Vardas186           Pavarde186          3     6     7     8     6     9     2     9     6     8     6     1     10    5     5     4     
Vardas187           Pavarde187          5     5     4     8     7     7     10    3     3     9     2     6     2     3     7     10    
Vardas188           Pavarde188          5     4     6     1     3     3     1     7     8     9     4     2     6     4     10    10    
Vardas189           Pavarde189          3     7     2     6     1     8     4     8     1     3     7     9     4     3     5     9     
Vardas190           Pavarde190          6     5     7     7     6     8     9     5     8     5     7     2     5     1     1     5     
Vardas191           Pavarde191          8     1     2     1     6     1     5     4     2     7     3     10    5     4     4     10    
Vardas192           Pavarde192          9     10    3     6     5     1     3     9     10    2     3     1     5     10    9     10    
Vardas193           Pavarde193          10    6     8     10    9     6     8     10    7     2     6     5     7     6     6     7     
Vardas194           Pavarde194          9     7     3     10    7     3     8     4     2     3     10    8     10    10    2     4     
Vardas195           Pavarde195          8     3     1     3     6     4     3     7     4     3     10    2     7     6     9     10    
Vardas196           Pavarde196          4     6     4     7     8     6     10    9     9     1     5     3     6     2     2     2     
Vardas197           Pavarde197          5     6     7     8     8     6     1     8     2     6     2     7     10    1     5     7     
Vardas198           Pavarde198          8     7     4     3     3     9     1     6     9     4     3     10    7     6     1     6     
Vardas199           Pavarde199          6     4     10    2     10    4     6     4     8     3     9     3     3     2     3     5     
Vardas200           Pavarde200          10    7     4     2     5     1     3     6     2     2     10    1     4     3     3     2     
Vardas201           Pavarde201          9     3     8     9     7     7     9     9     5     4     3     9     7     2     5     6     
Vardas202           Pavarde202          4     9     3     5     1     2     2     6     3     5     6     7     2     4     9     6     
Vardas203           Pavarde203          3     7     8     1     8     3     7     4     6     10    7     10    5     9     10    3     
Vardas204           Pavarde204          3     5     3     5     6     4     8     3     8     7     6     9     8     3     3     10    
Vardas205           Pavarde205          2     5     5     7     6     7     1     7     3     2     1     9     7     6     5     1     
Vardas206           Pavarde206          6     1     9     2     3     4     8     1     10    5     9     5     3     5     4     2     
Vardas207           Pavarde207          4     10    5     3     1     10    1     1     8     10    4     1     8     3     7     4     
Vardas208           Pavarde208          3     2     5     8     10    7     4     7     5     9     10    2     2     5     2     7     
Vardas209           Pavarde209          6     4     8     5     10    2     6     9     5     6     8     5     4     7     4     8     
Vardas210           Pavarde210          7     4     5     3     4     8     1     2     2     10    3     4     2     4     5     1     
Vardas211           Pavarde211          4     6     4     4     8     9     8     8     1     4     8     5     5     3     8     5     
Vardas212           Pavarde212          8     6     1     5     8     2     9     3     3     10    4     9     7     4     5     7     
Vardas213           Pavarde213          3     10    7     8     9     9     9     7     9     3     2     9     5     9     5     9     
Vardas214           Pavarde214          8     4     9     4     8     6     2     3     1     4     7     4     3     8     5     2     
Vardas215           Pavarde215          6     5     4     3     2     7     5     7     4     5     1     3     6     2     1     1     
Vardas216           Pavarde216          5     4     3     10    2     9     5     8     5     3     7     9     5     7     9     4     
Vardas217           Pavarde217          3     7     9     5     2     6     2     4     9     9     10    5     7     2     5     10    
Vardas218           Pavarde218          9     5     2     3     8     10    9     10    7     5     8     10    8     7     7     8     
Vardas219           Pavarde219          9     5     3     8     1     2     1     6     3     4     1     8     7     2     8     7     
Vardas220           Pavarde220          1     10    10    9     4     9     2     2     1     8     5     6     9     4     6     7     
Vardas221           Pavarde221          4     2     5     6     5     8     4     2     3     6     7     4     9     3     1     6     
Vardas222           Pavarde222          6     1     8     7     8     10    7     4     6     7     9     2     5     6     8     4     
Vardas223           Pavarde223          7     8     7     3     4     10    10    8     4     6     5     5     4     7     8     6     
Vardas224           Pavarde224          9     9     8     6     5     7     6     4     5     2     1     10    9     2     4     1     
Vardas225           Pavarde225          10    1     10    2     3     3     4     10    10    2     9     9     9     4     6     10    
Vardas226           Pavarde226          5     6     3     2     8     6     2     10    4     1     5     4     2     2     4     5     
Vardas227           Pavarde227          1     10    4     5     3     3     10    6     2     9     10    5     1     7     3     7     
Vardas228           Pavarde228          8     5     5     2     1     6     8     6     6     5     2     4     8     3     8     8     
Vardas229           Pavarde229          10    5     3     10    10    2     4     10    4     10    4     7     2     5     8     3     
Vardas230           Pavarde230          8     1     7     4     10    10    9     10    6     3     9     7     3     9     5     3     
Vardas231           Pavarde231          3     10    6     4     10    2     7     7     1     10    2     7     4     10    8     6     
Vardas232           Pavarde232          10    4     4     5     10    8     9     3     2     8     1     4     9     7     1     5     
Vardas233           Pavarde233          5     8     1     9     8     6     6     3     7     3     1     1     5     7     2     8     
Vardas234           Pavarde234          7     9     9     7     2     8     5     9     3     1     1     4     2     3     8     2     
Vardas235           Pavarde235          3     8     9     3     3     2     7     8     9     5     6     8     9     5     3     5     
Vardas236           Pavarde236          3     8     4     1     5     8     10    7     2     1     7     3     2     9     4     6     
Vardas237           Pavarde237          4     6     9     2     6     10    6     7     3     1     2     8     8     1     9     4     
Vardas238           Pavarde238          4     6     8     3     3     6     3     9     6     10    1     9     3     6     7     9     
Vardas239           Pavarde239          8     6     4     8     6     5     10    3     8     6     8     10    3     4     9     8     
Vardas240           Pavarde240          5     4     9     10    1     7     2     6     7     1     7     5     1     7     5     4     
Vardas241           Pavarde241          3     4     1     10    10    4     5     10    5     9     7     10    4     6     4     9     
Vardas242           Pavarde242          5     6     7     6     1     6     8     5     5     1     6     3     2     3     7     10    
Vardas243           Pavarde243          4     9     6     9     10    4     6     10    3     9     5     6     9     10    8     3     
Vardas244           Pavarde244          7     6     5     7     8     3     4     1     8     5     2     7     6     4     3     6     
Vardas245           Pavarde245          6     7     9     6     2     10    5     4     6     6     9     8     5     10    9     6     
Vardas246           Pavarde246          5     7     3     10    3     10    2     9     2     6     4     3     10    9     1     4     
Vardas247           Pavarde247          4     4     10    10    8     9     2     10    3     7     7     7     4     3     3     1     
Vardas248           Pavarde248          10    2     5     9     8     2     1     4     9     3     4     7     8     1     4     5     
Vardas249           Pavarde249          2     4     8     10    9     4     6     4     9     5     3     3     7     2     9     5     
Vardas250           Pavarde250          4     8     4     1     4     6     4     8     3     6     2     4     7     4     10    6     
Vardas251           Pavarde251          9     1     10    3     3     9     3     5     8     4     10    1     7     9     4     8     
Vardas252           Pavarde252          8     3     4     8     6     8     8     9     1     10    3     4     1     5     7     3     
Vardas253           Pavarde253          6     1     5     1     7     4     3     4     4     1     9     4     4     7     7     9     
Vardas254           Pavarde254          10    6     2     2     6     6     1     5     1     3     8     5     10    1     3     8     
Vardas255           Pavarde255          2     4     6     1     1     8     10    4     3     10    2     6     5     2     4     1     
Vardas256           Pavarde256          5     8     5     7     6     6     1     2     4     8     1     4     4     10    10    7     
Vardas257           Pavarde257          6     7     10    7     10    9     9     3     6     3     3     2     3     5     8     6     
Vardas258           Pavarde258          6     6     5     10    9     6     10    6     7     8     4     2     6     7     6     5     
Vardas259           Pavarde259          2     5     4     7     3     4     5     1     6     6     5     10    5     4     2     2     
Vardas260           Pavarde260          2     10    8     10    2     1     1     3     2     3     5     5     3     6     10    10    
Vardas261           Pavarde261          5     5     3     6     3     5     3     10    9     1     5     5     5     8     5     3     
Vardas262           Pavarde262          4     4     7     1     8     3     9     4     3     7     1     7     3     6     9     1     
Vardas263           Pavarde263          4     1     2     1     6     10    2     6     10    1     8     2     10    4     5     2     
Vardas264           Pavarde264          8     9     4     8     3     7     1     1     2     1     3     4     1     8     2     7     
Vardas265           Pavarde265          5     6     3     1     4     4     4     5     7     9     2     10    1     2     9     1     
Vardas266           Pavarde266          6     6     3     4     1     2     2     8     2     1     10    1     5     2     7     4     
Vardas267           Pavarde267          6     5     3     5     4     4     7     8     3     4     3     9     1     8     9     9     
Vardas268           Pavarde268          3     7     4     9     2     1     4     6     5     8     7     8     1     6     6     6     
Vardas269           Pavarde269          9     7     7     7     4     8     2     3     7     2     1     3     4     10    3     6     
Vardas270           Pavarde270          10    1     6     2     4     5     2     6     3     7     7     10    2     9     9     5     
Vardas271           Pavarde271          6     1     9     3     7     4     3     2     9     5     3     7     7     7     9     3     
Vardas272           Pavarde272          3     6     6     6     7     2     4     9     6     8     7     10    6     10    10    1     
Vardas273           Pavarde273          8     9     1     5     7     8     4     2     1     8     8     1     4     4     1     2     
Vardas274           Pavarde274          4     8     3     4     8     6     4     2     7     10    5     1     5     9     7     10    
Vardas275           Pavarde275          4     3     10    3     5     5     4     8     6     5     4     4     1     10    1     7     
Vardas276           Pavarde276          9     7     2     8     6     4     4     7     4     5     5     2     7     1     8     7     
Vardas277           Pavarde277          5     4     1     6     1     3     4     8     7     8     6     2     1     6     3     7     
Vardas278           Pavarde278          2     8     8     2     6     9     3     10    5     3     7     3     8     4     10    6     
Vardas279           Pavarde279          4     5     7     9     5     4     6     4     4     7     5     1     3     6     9     6     
Vardas280           Pavarde280          10    8     10    2     10    4     3     5     2     2     7     10    3     1     8     2     
Vardas281           Pavarde281          3     1     4     3     2     10    10    10    5     6     6     8     3     5     6     4     
Vardas282           Pavarde282          2     10    8     1     4     5     2     2     9     6     10    6     6     9     6     7     
Vardas283           Pavarde283          5     7     2     2     2     7     7     1     1     4     5     3     1     2     4     5     
Vardas284           Pavarde284          8     3     5     6     5     1     10    9     1     4     2     9     7     6     6     3     
Vardas285           Pavarde285          1     1     1     9     8     8     3     6     1     4     6     6     10    2     5     2     
Vardas286           Pavarde286          3     9     5     7     7     3     7     1     5     4     4     2     9     10    10    10    
Vardas287           Pavarde287          8     3     9     3     3     9     1     9     8     1     6     3     7     7     4     3     
Vardas288           Pavarde288          4     9     9     2     10    4     8     9     6     8     6     6     5     5     4     5     
Vardas289           Pavarde289          6     8     6     3     6     3     1     8     2     3     5     9     7     6     3     7     
Vardas290           Pavarde290          9     2     2     6     9     2     9     3     1     9     4     4     3     4     6     1     
Vardas291           Pavarde291          6     5     4     5     8     6     7     6     3     1     3     2     7     2     9     9     
Vardas292           Pavarde292          2     1     9     3     2     8     10    9     3     8     6     7     9     8     4     10    
Vardas293           Pavarde293          1     10    10    3     1     10    2     9     8     5     8     5     10    10    3     1     
Vardas294           Pavarde294          1     6     5     2     8     7     9     1     6     3     8     8     2     4     7     7     
Vardas295           Pavarde295          7     1     5     5     7     5     7     10    9     8     10    1     7     10    7     4     
Vardas296           Pavarde296          8     4     10    4     7     2     8     10    9     4     10    2     2     7     4     2     
Vardas297           Pavarde297          6     6     1     10    6     10    5     10    6     2     1     10    6     10    5     9     
Vardas298           Pavarde298          9     4     2     10    7     3     2     6     10    8     4     10    8     9     8     1     
Vardas299           Pavarde299          10    8     7     8     8     9     4     2     2     9     3     10    7     7     8     7     
Vardas300           Pavarde300          6     1     6     1     3     10    10    8     7     10    4     9     2     8     1     8     
Vardas301           Pavarde301          10    5     9     7     10    1     3     2     5     6     4     1     4     4     9     9     
