Vardas              Pavarde             ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9   ND10  ND11  ND12  ND13  ND14  ND15  Egz.  
Vardas38            Pavarde38           7     1     8     6     9     10    5     4     6     5     3     7     9     10    4     9     
Vardas39            Pavarde39           8     5     9     9     3     2     3     2     1     8     1     7     7     5     7     1     
Vardas40            Pavarde40           5     2     1     1     9     5     3     4     5     4     6     6     3     10    5     10    
Vardas41            Pavarde41           3     5     8     9     6     2     8     4     5     4     10    5     6     10    8     6     
Vardas42            Pavarde42           3     2     2     3     4     1     2     2     4     6     3     10    10    7     5     2     
Vardas43            Pavarde43           4     2     3     1     3     2     10    10    5     4     7     1     8     8     10    10    
Vardas44            Pavarde44           8     5     8     5     7     5     2     6     2     2     8     2     6     8     6     4     
Vardas45            Pavarde45           7     5     4     10    8     7     4     5     7     10    1     7     8     2     8     2     
Vardas46            Pavarde46           4     10    7     2     5     1     3     4     6     2     9     6     7     7     6     6     
Vardas47            Pavarde47           9     10    10    9     2     8     10    8     9     6     4     10    7     9     8     6     
Vardas48            Pavarde48           6     4     4     6     4     1     5     10    6     3     9     1     7     2     10    5     
Vardas49            Pavarde49           1     5     5     4     10    8     8     3     7     2     4     6     5     1     5     6     
Vardas50            Pavarde50           2     10    7     7     10    5     4     6     6     10    2     10    10    2     9     6     
Vardas51            Pavarde51           9     6     1     2     3     9     8     8     10    6     9     7     3     1     8     7     
Vardas52            Pavarde52           8     1     9     6     5     7     7     3     1     2     10    9     7     3     9     5     
Vardas53            Pavarde53           6     3     4     7     9     7     9     10    9     9     2     4     10    9     7     9     
Vardas54            Pavarde54           3     10    8     2     4     8     1     6     3     9     5     2     5     5     3     1     
Vardas55            Pavarde55           1     1     2     9     1     5     3     5     4     1     8     2     2     4     9     2     
Vardas56            Pavarde56           10    7     3     4     7     7     6     6     2     3     8     2     6     7     10    3     
Vardas57            Pavarde57           2     8     2     3     3     2     7     2     1     8     10    4     4     4     5     1     
Vardas58            Pavarde58           8     3     3     6     6     9     3     8     7     5     10    5     6     7     8     7     
Vardas59            Pavarde59           9     5     2     5     8     6     1     2     8     8     2     1     2     10    9     1     
Vardas60            Pavarde60           4     6     6     3     3     5     9     1     1     7     10    5     1     3     5     9     
Vardas61            Pavarde61           8     3     5     5     7     8     10    5     1     4     5     6     2     7     5     3     
Vardas62            Pavarde62           5     4     8     2     1     5     7     6     6     10    7     8     10    8     10    7     
Vardas63            Pavarde63           2     6     4     7     1     10    9     5     2     4     8     1     5     2     10    4     
Vardas64            Pavarde64           7     5     2     5     8     4     7     3     4     1     1     1     4     3     4     5     
Vardas65            Pavarde65           3     1     8     6     8     5     2     7     1     3     6     3     3     6     6     8     
Vardas66            Pavarde66           6     1     1     4     7     6     4     10    3     4     6     5     9     6     9     1     
Vardas67            Pavarde67           2     3     10    2     3     10    5     8     5     5     6     8     1     7     9     2     
Vardas68            Pavarde68           5     9     4     1     1     10    2     5     10    3     8     5     6     3     9     2     
Vardas69            Pavarde69           9     7     7     3     6     5     6     5     1     7     8     4     8     6     6     6     
Vardas70            Pavarde70           4     5     8     10    1     6     9     4     10    2     10    6     5     5     7     5     
Vardas71            Pavarde71           5     5     2     10    3     5     6     5     7     4     8     5     2     9     10    7     
Vardas72            Pavarde72           10    8     7     9     1     8     6     3     2     9     10    7     3     3     10    9     
Vardas73            Pavarde73           4     4     2     8     5     1     9     3     3     3     2     9     9     8     10    2     
Vardas74            Pavarde74           8     1     10    8     7     10    1     9     1     8     10    5     5     8     10    4     
Vardas75            Pavarde75           1     5     6     1     9     1     6     2     7     4     9     3     6     5     8     6     
Vardas76            Pavarde76           4     10    2     2     5     1     6     2     4     10    8     1     2     9     6     3     
Vardas77            Pavarde77           9     4     4     10    7     5     2     8     10    8     5     6     5     2     3     10    
Vardas78            Pavarde78           6     1     6     7     5     8     1     6     1     8     8     1     9     6     7     1     
Vardas79            Pavarde79           6     6     10    3     2     7     3     7     10    3     8     3     3     8     2     9     
Vardas80            Pavarde80           10    8     5     7     5     10    2     3     3     7     1     8     10    2     10    9     
Vardas81            Pavarde81           2     3     6     2     1     10    8     4     6     8     4     7     7     3     2     2     
Vardas82            Pavarde82           1     10    8     8     5     9     2     2     6     10    8     3     2     9     2     3     
Vardas83            Pavarde83           4     4     5     10    7     4     9     5     10    7     7     4     3     4     7     7     
Vardas84            Pavarde84           9     10    1     5     1     4     4     5     4     8     7     1     6     4     5     5     
Vardas85            Pavarde85           9     6     8     8     7     2     1     1     8     8     6     10    5     10    1     9     
Vardas86            Pavarde86           3     2     6     7     10    6     5     2     6     9     10    4     5     1     4     10    
Vardas87            Pavarde87           4     8     5     5     10    2     2     5     9     5     2     5     8     10    9     7     
Vardas88            Pavarde88           7     3     8     8     8     4     1     5     7     6     2     10    1     10    2     9     
Vardas89            Pavarde89           4     8     1     6     8     10    6     10    8     9     6     4     9     2     3     3     
Vardas90            Pavarde90           10    2     3     4     3     3     6     6     2     5     5     8     2     1     8     1     
Vardas91            Pavarde91           1     1     1     9     10    3     9     1     1     7     2     4     9     7     10    7     
Vardas92            Pavarde92           9     5     1     2     9     5     9     8     9     9     4     4     2     2     9     3     
Vardas93            Pavarde93           1     7     5     6     2     7     3     2     6     4     6     6     4     4     2     2     
Vardas94            Pavarde94           2     8     4     8     10    5     7     10    10    8     1     10    8     7     10    7     
Vardas95            Pavarde95           9     10    8     9     5     5     2     8     5     9     1     7     9     6     9     10    
Vardas96            Pavarde96           5     8     7     6     3     1     5     5     3     4     2     10    2     5     1     10    
Vardas97            Pavarde97           4     9     3     6     2     9     5     9     5     1     9     1     7     3     2     3     
Vardas98            Pavarde98           6     3     5     6     6     6     9     5     8     4     3     4     1     1     4     8     
Vardas99            Pavarde99           10    8     5     3     5     8     1     3     7     9     5     3     9     1     10    8     
Vardas100           Pavarde100          7     7     8     2     6     5     2     8     6     1     2     3     8     8     2     3     
Vardas101           Pavarde101          1     1     7     2     5     10    3     1     6     1     10    10    9     8     5     4     
Vardas102           Pavarde102          7     4     9     5     1     8     10    2     5     9     7     2     3     7     2     2     
Vardas103           Pavarde103          9     3     8     7     9     5     9     1     1     7     9     1     7     7     5     5     
Vardas104           Pavarde104          4     3     7     1     1     2     6     10    10    6     10    3     7     10    4     3     
Vardas105           Pavarde105          7     7     6     8     6     10    4     2     3     4     4     6     2     4     6     7     
Vardas106           Pavarde106          3     3     9     6     8     5     7     9     3     2     2     3     5     7     2     10    
Vardas107           Pavarde107          4     1     7     1     4     5     5     10    5     10    5     1     2     9     1     5     
Vardas108           Pavarde108          2     10    7     2     6     7     2     10    1     3     1     10    8     7     8     2     
Vardas109           Pavarde109          1     10    2     7     9     6     1     7     9     9     6     10    5     7     9     2     
Vardas110           Pavarde110          1     8     1     5     2     1     5     8     8     2     5     4     8     8     3     2     
Vardas111           Pavarde111          7     9     10    5     8     5     6     5     5     5     5     2     1     2     3     9     
Vardas112           Pavarde112          6     6     7     9     7     2     1     10    5     8     6     5     4     9     3     8     
Vardas113           Pavarde113          10    7     3     9     5     10    5     3     8     1     8     10    4     1     9     6     
Vardas114           Pavarde114          5     10    5     6     8     10    2     2     1     7     10    4     3     5     10    5     
Vardas115           Pavarde115          1     7     3     4     1     9     4     1     10    9     9     3     2     2     5     6     
Vardas116           Pavarde116          8     7     1     8     4     5     7     4     2     2     10    9     8     9     3     5     
Vardas117           Pavarde117          5     7     1     5     2     7     2     1     7     9     4     4     8     4     7     9     
Vardas118           Pavarde118          10    8     9     8     4     8     7     10    4     7     7     2     10    5     1     2     
Vardas119           Pavarde119          6     8     8     2     10    4     1     2     3     1     1     6     9     4     4     5     
Vardas120           Pavarde120          10    6     4     9     6     1     7     1     9     2     7     10    9     5     10    2     
Vardas121           Pavarde121          3     7     3     2     9     1     9     1     2     1     7     10    9     6     9     7     
Vardas122           Pavarde122          5     10    6     5     1     1     4     1     10    6     4     6     3     8     8     10    
Vardas123           Pavarde123          4     8     9     4     6     6     2     3     6     3     3     1     3     4     7     7     
Vardas124           Pavarde124          5     1     10    7     4     5     4     6     3     10    2     10    6     4     7     6     
Vardas125           Pavarde125          7     2     1     2     10    2     6     2     6     8     2     1     9     2     2     4     
Vardas126           Pavarde126          3     1     7     1     5     7     10    7     4     9     2     2     9     8     5     1     
Vardas127           Pavarde127          10    5     4     8     1     10    9     9     9     6     2     5     9     9     9     6     
Vardas128           Pavarde128          2     8     3     5     10    2     5     2     4     4     6     2     2     9     7     10    
Vardas129           Pavarde129          3     7     4     1     2     2     4     10    4     8     1     3     10    5     9     1     
Vardas130           Pavarde130          7     3     10    9     3     4     2     1     9     6     9     1     8     10    7     7     
Vardas131           Pavarde131          10    5     7     2     2     7     5     10    6     5     4     3     3     4     6     4     
Vardas132           Pavarde132          5     4     9     5     7     9     1     7     3     8     7     6     10    2     8     2     
Vardas133           Pavarde133          10    4     8     9     7     8     10    4     4     7     1     8     8     6     8     1     
Vardas134           Pavarde134          5     10    4     4     10    7     5     5     10    8     2     5     9     8     1     8     
Vardas135           Pavarde135          4     6     7     6     5     5     2     4     8     4     3     7     5     2     7     7     
Vardas136           Pavarde136          4     10    10    8     3     5     2     4     7     10    1     9     10    8     8     1     
Vardas137           Pavarde137          4     1     4     1     7     4     2     9     10    8     7     7     4     10    2     10    
Vardas138           Pavarde138          2     6     5     3     7     9     10    6     7     1     10    10    9     7     6     2     
Vardas139           Pavarde139          5     3     6     4     2     10    10    4     7     9     2     3     2     6     3     6     
Vardas140           Pavarde140          9     7     7     5     1     3     1     4     10    6     4     7     1     1     2     7     
Vardas141           Pavarde141          9     10    6     7     1     2     8     4     10    4     7     4     2     3     5     1     
Vardas142           Pavarde142          9     9     3     7     8     6     2     5     5     3     4     4     1     3     3     9     
Vardas143           Pavarde143          7     1     6     6     7     3     9     2     1     3     8     10    10    9     6     9     
Vardas144           Pavarde144          4     4     9     6     3     4     2     4     9     3     1     7     1     10    7     6     
Vardas145           Pavarde145          5     6     2     6     2     1     4     7     7     10    5     4     4     7     4     4     
Vardas146           Pavarde146          2     7     4     4     10    7     8     6     7     7     1     5     8     8     8     6     
Vardas147           Pavarde147          9     3     7     5     8     4     7     9     9     2     10    7     4     8     6     10    
Vardas148           Pavarde148          1     6     5     10    6     6     10    5     8     7     8     3     3     5     3     4     
Vardas149           Pavarde149          5     1     5     1     10    3     6     1     9     8     9     3     2     9     9     10    
Vardas150           Pavarde150          2     1     7     2     1     4     9     3     1     6     10    9     9     1     8     5     
Vardas151           Pavarde151          5     8     10    1     1     3     4     10    4     9     7     8     4     5     9     7     
Vardas152           Pavarde152          1     6     4     3     9     9     5     7     5     3     5     3     1     2     5     5     
Vardas153           Pavarde153          6     8     3     7     6     7     5     7     6     6     9     1     3     5     6     8     
Vardas154           Pavarde154          1     6     5     2     4     8     5     6     1     1     3     7     4     2     2     2     
Vardas155           Pavarde155          8     2     7     5     9     4     5     1     5     8     1     2     6     2     2     2     
Vardas156           Pavarde156          2     6     2     8     7     10    2     5     4     5     9     8     9     4     4     7     
Vardas157           Pavarde157          1     10    4     6     9     3     1     10    5     5     7     8     9     9     6     2     
Vardas158           Pavarde158          1     4     4     9     9     6     9     4     5     7     10    4     3     1     3     10    
Vardas159           Pavarde159          9     5     2     3     10    9     9     10    3     2     5     1     7     5     9     4     
Vardas160           Pavarde160          10    8     3     5     10    2     10    4     8     9     1     6     4     6     6     5     
Vardas161           Pavarde161          1     2     10    2     9     10    5     7     5     5     7     7     2     3     9     10    
Vardas162           Pavarde162          2     3     8     10    5     7     7     8     9     7     1     5     1     6     2     10    
Vardas163           Pavarde163          5     8     5     6     4     2     6     5     9     2     8     2     1     4     5     3     
Vardas164           Pavarde164          3     5     2     8     2     2     9     6     4     2     5     3     7     5     3     4     
Vardas165           Pavarde165          5     5     8     6     10    4     4     4     10    10    7     5     9     4     3     4     
Vardas166           Pavarde166          10    10    9     4     7     8     10    4     10    9     9     9     10    10    1     10    
Vardas167           Pavarde167          4     8     5     2     1     3     4     9     5     1     9     6     10    6     5     1     
Vardas168           Pavarde168          1     1     9     3     6     1     3     2     5     6     6     2     8     5     2     6     
Vardas169           Pavarde169          3     8     8     5     3     6     9     2     1     5     9     10    7     10    1     7     
Vardas170           Pavarde170          6     9     7     9     5     5     9     3     5     7     4     8     3     7     10    2     
Vardas171           Pavarde171          5     5     3     10    6     9     4     2     4     7     8     5     10    5     7     6     
Vardas172           Pavarde172          8     10    9     4     10    2     6     7     6     3     4     3     7     4     2     4     
Vardas173           Pavarde173          9     1     1     4     5     2     9     7     4     3     7     8     10    2     6     10    
Vardas174           Pavarde174          2     5     8     6     7     3     4     8     9     3     6     9     10    3     8     4     
Vardas175           Pavarde175          10    10    9     8     7     5     7     1     4     5     2     10    5     4     2     2     
Vardas176           Pavarde176          9     6     10    1     2     6     4     6     2     5     10    3     7     3     2     2     
Vardas177           Pavarde177          9     1     5     7     4     3     6     8     4     3     7     4     5     6     9     7     
Vardas178           Pavarde178          10    9     4     5     3     7     1     10    6     5     8     7     1     3     8     5     
Vardas179           Pavarde179          1     7     3     9     6     3     9     8     4     6     8     9     5     9     7     6     
Vardas180           Pavarde180          10    4     4     7     5     9     6     6     7     4     4     10    9     9     7     1     
Vardas181           Pavarde181          4     7     5     3     5     3     6     7     5     5     7     6     10    7     10    2     
Vardas182           Pavarde182          8     5     4     2     1     2     10    10    8     1     8     8     7     3     6     6     
Vardas183           Pavarde183          9     9     4     1     5     7     5     7     1     2     3     9     3     10    10    7     
Vardas184           Pavarde184          5     6     4     3     6     7     6     5     5     5     6     7     6     10    8     7     
Vardas185           Pavarde185          4     5     5     3     8     9     9     5     10    7     2     7     5     2     10    2     
Vardas186           Pavarde186          7     5     8     10    4     10    10    7     5     7     4     4     4     1     5     1     
Vardas187           Pavarde187          9     6     6     3     1     9     7     8     7     3     7     3     4     9     4     5     
Vardas188           Pavarde188          4     4     7     9     5     4     7     4     3     7     6     3     3     3     4     9     
Vardas189           Pavarde189          3     7     1     6     7     5     10    3     4     6     1     10    9     1     1     6     
Vardas190           Pavarde190          5     5     9     3     1     4     2     4     5     10    3     10    5     2     5     7     
Vardas191           Pavarde191          9     4     4     1     9     5     10    9     7     2     1     7     8     5     7     9     
Vardas192           Pavarde192          10    3     2     3     1     8     8     10    5     8     6     7     5     7     10    5     
Vardas193           Pavarde193          9     1     7     9     1     9     9     1     8     8     3     1     2     2     2     3     
Vardas194           Pavarde194          2     7     7     10    8     9     3     1     7     1     5     1     6     9     4     2     
Vardas195           Pavarde195          2     5     3     7     3     10    1     3     1     1     7     8     6     8     8     8     
Vardas196           Pavarde196          8     7     1     5     5     8     6     2     1     6     7     10    7     9     2     3     
Vardas197           Pavarde197          5     1     4     10    6     4     7     6     1     10    6     6     7     9     4     8     
Vardas198           Pavarde198          5     1     2     2     4     4     9     6     3     10    2     5     10    5     6     7     
Vardas199           Pavarde199          2     3     8     1     2     10    2     4     6     4     1     8     10    9     1     6     
Vardas200           Pavarde200          5     5     8     8     1     7     8     2     10    2     6     6     10    6     8     7     
Vardas201           Pavarde201          7     2     6     6     3     7     8     2     5     10    6     1     2     4     8     10    
Vardas202           Pavarde202          1     5     7     2     5     9     8     8     5     9     9     1     4     9     4     5     
Vardas203           Pavarde203          3     3     4     1     8     10    9     10    6     5     9     1     2     1     9     10    
Vardas204           Pavarde204          8     1     4     6     10    2     6     2     9     9     7     3     10    4     10    1     
Vardas205           Pavarde205          1     4     7     10    8     5     9     6     7     8     6     4     6     10    5     8     
Vardas206           Pavarde206          1     1     10    4     4     10    8     10    2     1     2     2     9     2     9     5     
Vardas207           Pavarde207          5     8     3     9     3     5     6     5     3     4     5     9     9     6     1     5     
Vardas208           Pavarde208          9     7     5     4     2     9     4     9     10    2     9     7     1     6     6     9     
Vardas209           Pavarde209          3     1     7     6     10    10    3     9     9     9     1     3     6     6     3     5     
Vardas210           Pavarde210          2     6     5     8     4     1     7     8     1     8     10    2     2     8     9     7     
Vardas211           Pavarde211          1     8     1     8     5     6     1     8     7     3     1     9     5     4     1     4     
Vardas212           Pavarde212          6     6     1     5     3     1     6     4     2     7     10    4     10    7     5     4     
Vardas213           Pavarde213          1     7     2     4     4     8     5     5     5     5     8     3     2     7     10    9     
Vardas214           Pavarde214          4     6     7     1     2     3     3     9     3     10    7     1     4     3     3     8     
Vardas215           Pavarde215          9     5     6     1     9     1     3     10    2     1     6     6     2     4     5     3     
Vardas216           Pavarde216          3     9     1     2     7     1     3     3     10    8     10    2     7     2     10    4     
Vardas217           Pavarde217          10    8     7     8     4     6     6     9     9     5     10    7     8     7     4     2     
Vardas218           Pavarde218          8     9     9     10    3     5     1     5     7     3     7     1     5     6     9     6     
Vardas219           Pavarde219          1     2     7     5     3     4     8     8     8     4     5     4     8     4     3     10    
Vardas220           Pavarde220          2     5     4     5     8     10    4     9     2     3     5     9     9     5     6     2     
Vardas221           Pavarde221          5     10    3     9     9     7     6     5     5     9     2     8     4     2     6     2     
Vardas222           Pavarde222          9     10    6     10    8     2     2     9     5     6     2     8     10    2     4     5     
Vardas223           Pavarde223          7     8     10    2     8     6     1     1     9     1     10    9     9     6     1     9     
Vardas224           Pavarde224          2     8     2     6     3     7     7     6     7     1     6     9     10    9     2     1     
Vardas225           Pavarde225          9     5     4     9     4     2     9     9     5     8     8     4     9     3     9     9     
Vardas226           Pavarde226          4     9     2     8     1     5     9     1     5     9     3     1     4     4     10    5     
Vardas227           Pavarde227          2     10    4     4     1     2     10    6     9     5     10    6     10    5     10    7     
Vardas228           Pavarde228          3     6     3     5     5     1     10    4     3     4     5     8     5     5     6     2     
Vardas229           Pavarde229          4     3     5     10    3     9     9     8     3     1     10    4     2     8     3     6     
Vardas230           Pavarde230          7     9     6     7     2     4     9     7     5     9     8     10    2     1     10    1     
Vardas231           Pavarde231          9     10    8     3     2     7     1     9     4     4     7     2     8     2     1     3     
Vardas232           Pavarde232          6     2     4     2     9     3     9     2     2     2     1     1     10    6     8     6     
Vardas233           Pavarde233          8     4     9     6     4     2     1     5     3     5     10    2     3     9     9     3     
Vardas234           Pavarde234          2     10    9     1     4     5     9     7     10    9     9     6     5     7     10    2     
Vardas235           Pavarde235          3     5     1     4     3     9     10    4     8     8     1     4     7     3     10    5     
Vardas236           Pavarde236          2     4     2     3     9     7     5     1     1     5     8     1     8     7     6     8     
Vardas237           Pavarde237          6     4     5     4     4     5     2     2     9     4     7     2     10    5     4     8     
Vardas238           Pavarde238          7     10    8     9     4     10    10    8     10    6     4     7     4     1     2     6     
Vardas239           Pavarde239          6     4     1     4     7     5     1     5     4     7     9     4     3     6     9     4     
Vardas240           Pavarde240          4     1     3     5     10    5     3     5     5     4     10    5     7     9     5     10    
Vardas241           Pavarde241          10    1     8     9     1     1     8     4     2     10    5     4     6     6     9     1     
Vardas242           Pavarde242          7     2     1     9     3     6     10    10    7     1     2     3     6     3     4     8     
Vardas243           Pavarde243          7     7     7     4     4     9     5     6     2     10    7     8     5     9     8     5     
Vardas244           Pavarde244          3     6     3     5     9     5     7     4     6     3     5     9     2     2     5     2     
Vardas245           Pavarde245          7     5     4     5     8     2     8     7     3     4     2     2     7     8     1     6     
Vardas246           Pavarde246          1     3     8     9     3     4     4     2     3     1     8     9     2     7     7     7     
Vardas247           Pavarde247          8     2     6     1     10    8     9     8     1     9     9     3     10    10    9     2     
Vardas248           Pavarde248          8     1     7     4     3     6     4     6     8     1     4     3     8     6     7     7     
Vardas249           Pavarde249          8     8     9     5     10    7     2     3     2     8     7     6     2     2     9     1     
Vardas250           Pavarde250          4     2     10    10    8     3     2     4     9     6     10    8     5     8     1     6     
Vardas251           Pavarde251          10    6     3     7     3     4     8     2     6     4     4     5     7     3     10    5     
Vardas252           Pavarde252          3     9     2     4     7     3     4     4     3     4     5     2     8     3     8     4     
Vardas253           Pavarde253          2     9     1     10    10    3     8     5     5     9     8     3     1     3     5     10    
Vardas254           Pavarde254          6     3     6     6     5     8     10    1     3     4     4     9     4     4     4     7     
Vardas255           Pavarde255          9     2     1     7     3     4     5     10    10    10    10    4     9     6     2     1     
Vardas256           Pavarde256          3     1     10    2     7     2     8     1     5     9     3     9     1     8     1     10    
Vardas257           Pavarde257          1     8     2     6     9     7     8     8     4     4     4     8     5     2     7     6     
Vardas258           Pavarde258          2     6     6     3     4     4     9     2     3     3     1     8     7     10    1     6     
Vardas259           Pavarde259          2     9     8     5     10    9     1     1     3     7     9     7     2     8     9     1     
Vardas260           Pavarde260          4     4     8     5     4     6     5     5     3     9     6     4     1     9     3     4     
Vardas261           Pavarde261          2     2     3     2     2     1     1     9     10    9     9     9     2     9     4     9     
Vardas262           Pavarde262          8     2     3     8     8     7     8     2     2     5     9     4     6     6     6     4     
Vardas263           Pavarde263          8     8     1     8     7     2     2     4     9     2     9     9     8     4     3     5     
Vardas264           Pavarde264          7     2     10    9     10    7     6     7     4     8     9     5     5     8     9     5     
Vardas265           Pavarde265          2     1     7     6     7     5     2     5     5     7     4     6     6     7     10    3     
Vardas266           Pavarde266          4     6     2     7     4     3     10    1     10    10    5     5     7     1     10    10    
Vardas267           Pavarde267          8     7     2     4     10    5     4     6     1     3     9     8     5     5     8     5     
Vardas268           Pavarde268          4     7     1     4     1     5     3     3     7     4     7     2     8     10    4     2     
Vardas269           Pavarde269          3     1     3     4     10    9     7     9     3     10    4     2     4     7     7     3     
Vardas270           Pavarde270          6     8     8     9     9     6     10    9     1     2     8     10    5     7     6     1     
Vardas271           Pavarde271          2     2     2     2     7     1     7     4     3     1     8     5     2     2     1     9     
Vardas272           Pavarde272          7     4     8     9     9     4     10    2     10    9     3     1     4     8     6     1     
Vardas273           Pavarde273          10    4     3     5     5     10    9     10    4     5     4     4     8     10    10    2     
Vardas274           Pavarde274          8     1     3     10    7     3     2     5     6     1     1     2     5     4     5     7     
Vardas275           Pavarde275          4     6     10    2     7     2     3     6     1     5     1     7     1     7     6     10    
Vardas276           Pavarde276          5     8     8     2     7     1     7     10    6     2     5     4     2     4     10    10    
Vardas277           Pavarde277          4     8     3     4     7     10    4     2     5     2     7     2     6     1     10    2     
Vardas278           Pavarde278          9     10    9     6     1     7     4     4     9     5     4     8     6     9     9     9     
Vardas279           Pavarde279          10    7     8     4     6     6     6     4     8     1     9     8     2     9     6     5     
Vardas280           Pavarde280          1     3     3     4     4     8     6     2     6     9     6     3     9     7     8     2     
Vardas281           Pavarde281          3     3     10    9     7     9     4     1     8     1     8     2     1     2     2     7     
Vardas282           Pavarde282          3     10    4     4     10    3     10    7     9     8     2     4     2     4     1     5     
Vardas283           Pavarde283          6     1     3     7     6     4     1     6     7     5     2     5     5     3     1     9     
Vardas284           Pavarde284          9     1     5     10    2     6     1     3     5     10    10    10    7     8     7     9     
Vardas285           Pavarde285          5     4     7     8     9     1     7     1     5     10    5     1     1     3     7     8     
Vardas286           Pavarde286          9     8     1     4     9     9     1     10    9     2     9     6     1     3     3     3     
Vardas287           Pavarde287          7     4     5     10    2     1     5     9     7     1     3     3     3     6     9     1     
Vardas288           Pavarde288          8     9     1     1     2     3     2     8     9     2     10    1     4     4     7     1     
Vardas289           Pavarde289          7     2     10    2     7     4     8     10    1     6     4     2     4     2     4     1     
Vardas290           Pavarde290          9     10    9     9     2     6     6     5     9     2     1     7     7     9     9     5     
Vardas291           Pavarde291          5     2     2     6     9     1     5     8     7     7     7     4     4     4     9     3     
Vardas292           Pavarde292          2     10    6     4     10    6     3     10    4     3     3     2     1     6     3     5     
Vardas293           Pavarde293          7     6     1     3     5     4     6     5     4     4     9     4     3     6     1     1     
Vardas294           Pavarde294          8     7     9     4     10    4     10    1     10    1     10    7     5     3     4     5     
Vardas295           Pavarde295          1     4     10    10    5     2     1     8     3     1     10    4     6     9     8     4     
Vardas296           Pavarde296          10    1     9     4     7     7     3     2     7     4     6     3     9     4     8     7     
Vardas297           Pavarde297          10    8     8     6     9     9     3     1     3     3     8     5     2     6     10    6     
Vardas298           Pavarde298          4     1     7     4     3     5     1     1     1     6     7     3     9     1     7     8     
Vardas299           Pavarde299          2     7     8     7     8     1     8     2     4     6     10    4     2     4     3     7     
Vardas300           Pavarde300          6     1     1     6     2     4     10    1     2     10    4     1     8     6     3     1     
Vardas301           Pavarde301          1     5     8     7     8     7     10    4     7     6     1     9     4     7     4     2     
